year,week,team_1,team_2,date,time,location,boxscore_url,won_toss,won_OT_toss,roof,surface,duration,attendance,vegas_line,over_under,temp,humidity,wind
2024,13,Chicago Bears,Detroit Lions,2024-11-28,12:30PM,Detroit,/boxscores/202411280det.htm,Lions,,dome,fieldturf,3:22,"64,275",Detroit Lions -9.5,48.0 (under),,,
2024,13,New York Giants,Dallas Cowboys,2024-11-28,4:30PM,Dallas,/boxscores/202411280dal.htm,Giants (deferred),,retractable roof (closed),matrixturf,3:33,"92,196",Dallas Cowboys -3.0,37.5 (over),,,
2024,13,Miami Dolphins,Green Bay Packers,2024-11-28,8:20PM,Green Bay,/boxscores/202411280gnb.htm,Dolphins (deferred),,outdoors,grass,3:12,"77,599",Green Bay Packers -3.0,47.5 (under),27 degrees, relative humidity 63%, wind 10 mph
2024,13,Las Vegas Raiders,Kansas City Chiefs,2024-11-29,3:00PM,Kansas City,/boxscores/202411290kan.htm,Raiders (deferred),,outdoors,grass,3:14,"73,627",Kansas City Chiefs -13.0,42.5 (under),37 degrees, relative humidity 40%, wind 5 mph
2024,13,Indianapolis Colts,New England Patriots,2024-12-01,1:00PM,New England,/boxscores/202412010nwe.htm,Colts (deferred),,outdoors,fieldturf,2:59,"64,626",Indianapolis Colts -2.5,42.5 (over),36 degrees, relative humidity 49%, wind 9 mph
2024,13,Arizona Cardinals,Minnesota Vikings,2024-12-01,1:00PM,Minnesota,/boxscores/202412010min.htm,Vikings (deferred),,dome,sportturf,3:02,"66,873",Minnesota Vikings -3.5,44.5 (over),,,
2024,13,Houston Texans,Jacksonville Jaguars,2024-12-01,1:00PM,Jacksonville,/boxscores/202412010jax.htm,Texans (deferred),,outdoors,grass,3:18,"62,588",Houston Texans -3.5,44.0 (under),,,
2024,13,Tennessee Titans,Washington Commanders,2024-12-01,1:00PM,Washington,/boxscores/202412010was.htm,Commanders (deferred),,outdoors,grass,3:14,"63,144",Washington Commanders -6.0,44.5 (over),42 degrees, relative humidity 40%, wind 6 mph
2024,13,Pittsburgh Steelers,Cincinnati Bengals,2024-12-01,1:00PM,Cincinnati,/boxscores/202412010cin.htm,Steelers (deferred),,outdoors,fieldturf,3:20,"66,112",Cincinnati Bengals -3.0,47.0 (over),32 degrees, relative humidity 43%, wind 9 mph
2024,13,Los Angeles Chargers,Atlanta Falcons,2024-12-01,1:00PM,Atlanta,/boxscores/202412010atl.htm,Falcons,,retractable roof (closed),fieldturf,2:44,"72,139",Los Angeles Chargers -1.0,48.0 (under),,,
2024,13,Seattle Seahawks,New York Jets,2024-12-01,1:00PM,New York,/boxscores/202412010nyj.htm,Jets (deferred),,outdoors,fieldturf,3:06,"81,084",Pick,42.0 (over),37 degrees, relative humidity 44%, wind 12 mph
2024,13,Los Angeles Rams,New Orleans Saints,2024-12-01,4:05PM,New Orleans,/boxscores/202412010nor.htm,Rams (deferred),,dome,sportturf,2:53,"70,006",Los Angeles Rams -2.5,49.5 (under),,,
2024,13,Tampa Bay Buccaneers,Carolina Panthers,2024-12-01,4:05PM,Carolina,/boxscores/202412010car.htm,Buccaneers (deferred),Buccaneers,outdoors,grass,3:38,"69,214",Tampa Bay Buccaneers -6.0,46.5 (over),51 degrees, relative humidity 41%, wind 7 mph
2024,13,Philadelphia Eagles,Baltimore Ravens,2024-12-01,4:25PM,Baltimore,/boxscores/202412010rav.htm,Ravens (deferred),,outdoors,grass,3:05,"71,344",Baltimore Ravens -3.0,51.0 (under),41 degrees, relative humidity 41%, wind 7 mph
2024,13,San Francisco 49ers,Buffalo Bills,2024-12-01,8:20PM,Buffalo,/boxscores/202412010buf.htm,49ers (deferred),,outdoors,a_turf,2:46,"70,437",Buffalo Bills -6.0,44.5 (over),28 degrees, relative humidity 79%, wind 11 mph
2024,13,Cleveland Browns,Denver Broncos,2024-12-02,8:15PM,Denver,/boxscores/202412020den.htm,Browns (deferred),,outdoors,grass,3:29,"68,306",Denver Broncos -6.0,42.0 (over),48 degrees, relative humidity 39%, wind 4 mph
