name,team,year,week,position,xpa,xpm,fga,fgm,fg_distances,fpoints
Chris Boswell,PIT,2024,12,K,1,1,3,2,"['48', '28']",7.800000000000001
Dustin Hopkins,CLE,2024,12,K,1,1,1,1,['34'],4.4
Brandon Aubrey,DAL,2024,12,K,4,4,4,2,"['46', '48']",11.399999999999999
Austin Seibert,WAS,2024,12,K,2,0,3,2,"['41', '51']",6.199999999999999
Jake Bates,DET,2024,12,K,3,3,1,1,['56'],8.6
Matt Gay,IND,2024,12,K,0,0,2,2,"['27', '29']",6.0
Spencer Shrader,KAN,2024,12,K,3,3,3,3,"['25', '41', '31']",13.2
Eddy Piñeiro,CAR,2024,12,K,1,1,4,4,"['30', '32', '29', '33']",13.5
John Parker Romo,MIN,2024,12,K,3,3,3,3,"['40', '26', '29']",13.0
Cairo Santos,CHI,2024,12,K,1,1,3,2,"['49', '48']",9.7
Joey Slye,NWE,2024,12,K,1,1,1,0,0,0.0
Jason Sanders,MIA,2024,12,K,4,4,2,2,"['21', '51']",12.1
Nick Folk,TEN,2024,12,K,3,3,3,3,"['51', '56', '51']",18.799999999999997
Ka'imi Fairbairn,HOU,2024,12,K,3,3,3,2,"['28', '54']",10.4
Chase McLaughlin,TAM,2024,12,K,4,3,1,1,['23'],5.0
Graham Gano,NYG,2024,12,K,1,1,0,0,0,1.0
Wil Lutz,DEN,2024,12,K,2,2,5,5,"['38', '53', '54', '45', '33']",24.3
Daniel Carlson,LVR,2024,12,K,1,1,4,4,"['34', '34', '53', '22']",16.1
Chad Ryland,ARI,2024,12,K,0,0,3,2,"['35', '22']",5.5
Jason Myers,SEA,2024,12,K,2,1,1,1,['50'],5.0
Jake Moody,SFO,2024,12,K,1,1,1,1,['48'],5.8
Brandon McManus,GNB,2024,12,K,5,5,1,1,['51'],10.1
Jake Elliott,PHI,2024,12,K,4,4,3,3,"['21', '31', '26']",13.1
Joshua Karty,LAR,2024,12,K,2,2,1,0,0,1.0
Justin Tucker,BAL,2024,12,K,3,3,1,1,['45'],7.5
Cameron Dicker,LAC,2024,12,K,2,2,3,3,"['42', '52', '52']",16.6
