name,team,year,week,position,xpa,xpm,fga,fgm,fg_distances,fpoints
Harrison Butker,KAN,2021,18,K,2,2,2,2,"['34', '51']",10.5
Brandon McManus,DEN,2021,18,K,3,3,1,1,['31'],6.1
Greg Zuerlein,DAL,2021,18,K,7,6,1,1,['48'],9.8
Jake Elliott,PHI,2021,18,K,2,2,2,2,"['38', '40']",9.8
Brett Maher,NOR,2021,18,K,3,3,4,3,"['37', '27', '33']",12.0
Younghoe Koo,ATL,2021,18,K,2,2,2,2,"['48', '54']",12.2
Lirim Hajrullahu,CAR,2021,18,K,2,2,1,1,['35'],5.5
Ryan Succop,TAM,2021,18,K,5,5,3,2,"['39', '40']",11.9
Cairo Santos,CHI,2021,18,K,0,0,3,3,"['43', '46', '42']",13.099999999999998
Greg Joseph,MIN,2021,18,K,4,4,1,1,['39'],7.9
Elliott Fry,CIN,2021,18,K,1,1,1,1,['36'],4.6
Chase McLaughlin,CLE,2021,18,K,3,3,0,0,0,3.0
Michael Badgley,IND,2021,18,K,0,0,1,1,['41'],4.1
Matthew Wright,JAX,2021,18,K,2,2,4,4,"['22', '20', '39', '31']",15.0
Mason Crosby,GNB,2021,18,K,2,1,1,1,['36'],3.6
Riley Patterson,DET,2021,18,K,4,4,3,3,"['34', '36', '27']",14.0
Randy Bullock,TEN,2021,18,K,4,4,1,0,0,3.0
Ka'imi Fairbairn,HOU,2021,18,K,2,2,1,1,['31'],5.1
Nick Folk,NWE,2021,18,K,3,3,1,1,['43'],7.3
Jason Sanders,MIA,2021,18,K,3,3,2,2,"['30', '49']",10.9
Joey Slye,WAS,2021,18,K,1,1,3,3,"['23', '43', '23']",11.3
Graham Gano,NYG,2021,18,K,1,1,0,0,0,1.0
Chris Boswell,PIT,2021,18,K,1,1,3,3,"['28', '40', '36']",11.6
Justin Tucker,BAL,2021,18,K,1,1,2,2,"['24', '46']",8.6
Eddy Piñeiro,NYJ,2021,18,K,1,1,1,1,['49'],5.9
Tyler Bass,BUF,2021,18,K,3,3,2,2,"['41', '21']",10.1
Jason Myers,SEA,2021,18,K,5,5,1,1,['38'],8.8
Matt Prater,ARI,2021,18,K,3,3,3,3,"['41', '30', '36']",13.7
Robbie Gould,SFO,2021,18,K,3,3,2,2,"['42', '24']",10.2
Matt Gay,LAR,2021,18,K,3,3,1,1,['43'],7.3
Dustin Hopkins,LAC,2021,18,K,3,3,2,1,['41'],6.1
Daniel Carlson,LVR,2021,18,K,2,2,5,5,"['24', '31', '52', '40', '47']",22.0
