year,week,team_1,team_2,date,time,location,boxscore_url,won_toss,won_OT_toss,roof,surface,duration,attendance,vegas_line,over_under,temp,humidity,wind
2016,3,New England Patriots,Houston Texans,2016-09-22,8:26PM,New England,/boxscores/201609220nwe.htm,Patriots (deferred),,outdoors,fieldturf ,3:02,"66,829",Pick,38.5 (under),68 degrees, relative humidity 60%," wind 4 mph, wind chill 0"
2016,3,Buffalo Bills,Arizona Cardinals,2016-09-25,1:02PM,Buffalo,/boxscores/201609250buf.htm,Bills,,outdoors,a_turf,3:18,"68,647",Arizona Cardinals -5.0,48.0 (over),64 degrees, relative humidity 44%," wind 8 mph, wind chill 0"
2016,3,Minnesota Vikings,Carolina Panthers,2016-09-25,1:02PM,Carolina,/boxscores/201609250car.htm,Vikings (deferred),,outdoors,grass ,3:05,"73,813",Carolina Panthers -6.0,43.0 (under),80 degrees, relative humidity 63%," no wind, wind chill 0"
2016,3,Denver Broncos,Cincinnati Bengals,2016-09-25,1:02PM,Cincinnati,/boxscores/201609250cin.htm,Bengals (deferred),,outdoors,fieldturf ,3:05,"63,850",Cincinnati Bengals -3.5,42.0 (over),81 degrees, relative humidity 53%," wind 3 mph, wind chill 0"
2016,3,Miami Dolphins,Cleveland Browns,2016-09-25,1:02PM,Miami,/boxscores/201609250mia.htm,Browns (deferred),Browns,outdoors,grass ,3:31,"65,176",Miami Dolphins -10.0,42.0 (over),86 degrees, relative humidity 65%," wind 16 mph, wind chill 0"
2016,3,Green Bay Packers,Detroit Lions,2016-09-25,1:02PM,Green Bay,/boxscores/201609250gnb.htm,Lions (deferred),,outdoors,grass ,2:54,"78,411",Green Bay Packers -6.0,47.5 (over),72 degrees, relative humidity 84%," wind 17 mph, wind chill 0"
2016,3,Baltimore Ravens,Jacksonville Jaguars,2016-09-25,1:02PM,Jacksonville,/boxscores/201609250jax.htm,Ravens (deferred),,outdoors,grass ,3:07,"60,127",Baltimore Ravens -2.5,45.0 (under),88 degrees, relative humidity 0%," wind 8 mph, wind chill 0"
2016,3,Washington Redskins,New York Giants,2016-09-25,1:02PM,New York,/boxscores/201609250nyg.htm,Redskins (deferred),,outdoors,fieldturf ,3:26,"78,368",New York Giants -3.5,47.0 (over),67 degrees, relative humidity 37%," wind 2 mph, wind chill 0"
2016,3,Oakland Raiders,Tennessee Titans,2016-09-25,1:02PM,Tennessee,/boxscores/201609250oti.htm,Raiders (deferred),,outdoors,grass ,3:03,"62,370",Oakland Raiders -1.5,47.0 (under),89 degrees, relative humidity 49%, wind 2 mph
2016,3,Los Angeles Rams,Tampa Bay Buccaneers,2016-09-25,4:05PM,Tampa Bay,/boxscores/201609250tam.htm,Buccaneers (deferred),,outdoors,grass ,4:31,"55,009",Tampa Bay Buccaneers -3.5,40.5 (over),91 degrees, relative humidity 58%, wind 4 mph
2016,3,Seattle Seahawks,San Francisco 49ers,2016-09-25,4:05PM,Seattle,/boxscores/201609250sea.htm,49ers (deferred),,outdoors,fieldturf ,2:59,"69,010",Seattle Seahawks -10.5,42.0 (over),66 degrees, relative humidity 63%," wind 6 mph, wind chill 0"
2016,3,Indianapolis Colts,San Diego Chargers,2016-09-25,4:25PM,Indianapolis,/boxscores/201609250clt.htm,Chargers (deferred),,retractable roof (closed),fieldturf ,3:23,"64,747",Indianapolis Colts -1.5,51.5 (under),,,
2016,3,Philadelphia Eagles,Pittsburgh Steelers,2016-09-25,4:25PM,Philadelphia,/boxscores/201609250phi.htm,Steelers,,outdoors,grass ,2:56,"69,596",Pittsburgh Steelers -3.5,46.5 (under),73 degrees, relative humidity 39%," wind 7 mph, wind chill 0"
2016,3,Kansas City Chiefs,New York Jets,2016-09-25,4:26PM,Kansas City,/boxscores/201609250kan.htm,Chiefs (deferred),,outdoors,grass ,2:54,"71,587",Kansas City Chiefs -3.0,44.5 (under),65 degrees, relative humidity 63%," wind 9 mph, wind chill 0"
2016,3,Dallas Cowboys,Chicago Bears,2016-09-25,8:31PM,Dallas,/boxscores/201609250dal.htm,Bears (deferred),,retractable roof (closed),matrixturf,3:08,"90,554",Dallas Cowboys -6.5,44.5 (over),,,
2016,3,Atlanta Falcons,New Orleans Saints,2016-09-26,8:30PM,New Orleans,/boxscores/201609260nor.htm,Falcons (deferred),,dome,sportturf,3:02,"73,003",New Orleans Saints -2.5,54.0 (over),,,
