name,team,year,week,position,xpa,xpm,fga,fgm,fg_distances,fpoints
Evan McPherson,CIN,2024,10,K,4,4,0,0,0,4.0
Justin Tucker,BAL,2024,10,K,4,3,0,0,0,2.0
Graham Gano,NYG,2024,10,K,2,2,2,1,['42'],5.2
Eddy Pineiro,CAR,2024,10,K,2,2,2,2,"['53', '36']",10.9
Joey Slye,NWE,2024,10,K,1,1,4,4,"['30', '37', '25', '33']",14.0
Cairo Santos,CHI,2024,10,K,0,0,1,1,['33'],3.3
Chris Boswell,PIT,2024,10,K,4,4,0,0,0,4.0
Zane Gonzalez,WAS,2024,10,K,3,3,2,2,"['48', '41']",11.899999999999999
Jake Moody,SFO,2024,10,K,2,2,6,3,"['28', '33', '44']",9.700000000000001
Chase McLaughlin,TAM,2024,10,K,2,2,2,2,"['30', '26']",8.0
Younghoe Koo,ATL,2024,10,K,2,2,4,1,['27'],2.0
Blake Grupe,NOR,2024,10,K,2,2,2,2,"['38', '26']",8.8
Tyler Bass,BUF,2024,10,K,3,3,3,3,"['29', '47', '28']",13.7
Matt Gay,IND,2024,10,K,2,2,2,2,"['27', '23']",8.0
Wil Lutz,DEN,2024,10,K,2,2,2,0,0,0.0
Harrison Butker,KAN,2024,10,K,1,1,3,3,"['36', '28', '20']",10.6
John Parker Romo,MIN,2024,10,K,0,0,4,4,"['45', '33', '34', '29']",14.2
Cam Little,JAX,2024,10,K,1,1,0,0,0,1.0
Nick Folk,TEN,2024,10,K,2,2,2,1,['27'],4.0
Cameron Dicker,LAC,2024,10,K,3,3,2,2,"['21', '37']",9.7
Jake Elliott,PHI,2024,10,K,4,4,2,2,"['39', '38']",11.7
Brandon Aubrey,DAL,2024,10,K,0,0,2,2,"['46', '23']",7.6
Spencer Shrader,NYJ,2024,10,K,0,0,2,2,"['25', '45']",7.5
Chad Ryland,ARI,2024,10,K,4,4,1,1,['37'],7.7
Jake Bates,DET,2024,10,K,2,2,2,2,"['58', '52']",13.0
Ka'imi Fairbairn,HOU,2024,10,K,2,2,4,3,"['34', '56', '29']",13.0
Jason Sanders,MIA,2024,10,K,2,2,3,3,"['50', '37', '50']",15.7
Joshua Karty,LAR,2024,10,K,0,0,6,5,"['34', '55', '53', '22', '31']",19.3
