year,week,team_1,team_2,date,time,location,boxscore_url,won_toss,won_OT_toss,roof,surface,duration,attendance,vegas_line,over_under,temp,humidity,wind
2019,7,Kansas City Chiefs,Denver Broncos,2019-10-17,8:20PM,Denver,/boxscores/201910170den.htm,Chiefs (deferred),,outdoors,grass,2:53,"76,748",Kansas City Chiefs -3.0,49.5 (under),75 degrees, relative humidity 7%, wind 6 mph
2019,7,Buffalo Bills,Miami Dolphins,2019-10-20,1:00PM,Buffalo,/boxscores/201910200buf.htm,Dolphins (deferred),,outdoors,astroturf,3:00,"68,340",Buffalo Bills -17.0,42.5 (over),65 degrees, relative humidity 54%, wind 7 mph
2019,7,Indianapolis Colts,Houston Texans,2019-10-20,1:00PM,Indianapolis,/boxscores/201910200clt.htm,Colts (deferred),,retractable roof (open),fieldturf,3:10,"59,977",Indianapolis Colts -1.5,46.5 (over),,,
2019,7,Minnesota Vikings,Detroit Lions,2019-10-20,1:00PM,Detroit,/boxscores/201910200det.htm,Vikings (deferred),,dome,fieldturf,3:11,"60,314",Minnesota Vikings -2.5,43.5 (over),,,
2019,7,San Francisco 49ers,Washington Redskins,2019-10-20,1:00PM,Washington,/boxscores/201910200was.htm,49ers (deferred),,outdoors,grass,2:36,"61,459",San Francisco 49ers -10.0,39.0 (under),55 degrees, relative humidity 93%, wind 12 mph
2019,7,Los Angeles Rams,Atlanta Falcons,2019-10-20,1:00PM,Atlanta,/boxscores/201910200atl.htm,Rams (deferred),,retractable roof (open),fieldturf,3:03,"71,856",Los Angeles Rams -3.0,54.5 (under),,,
2019,7,Jacksonville Jaguars,Cincinnati Bengals,2019-10-20,1:00PM,Cincinnati,/boxscores/201910200cin.htm,Bengals (deferred),,outdoors,grass,3:17,"42,784",Jacksonville Jaguars -4.0,44.5 (under),70 degrees, relative humidity 63%, wind 2 mph
2019,7,Arizona Cardinals,New York Giants,2019-10-20,1:00PM,New York,/boxscores/201910200nyg.htm,Giants (deferred),,outdoors,fieldturf ,3:03,"73,577",New York Giants -3.5,49.5 (under),56 degrees, relative humidity 78%, wind 3 mph
2019,7,Green Bay Packers,Oakland Raiders,2019-10-20,1:00PM,Green Bay,/boxscores/201910200gnb.htm,Raiders,,outdoors,grass,2:59,"78,160",Green Bay Packers -5.5,48.0 (over),55 degrees, relative humidity 74%, wind 6 mph
2019,7,Tennessee Titans,Los Angeles Chargers,2019-10-20,4:05PM,Tennessee,/boxscores/201910200oti.htm,Titans (deferred),,outdoors,grass,3:10,"62,431",Tennessee Titans -3.0,42.5 (over),77 degrees, relative humidity 40%, wind 2 mph
2019,7,New Orleans Saints,Chicago Bears,2019-10-20,4:25PM,Chicago,/boxscores/201910200chi.htm,Saints (deferred),,outdoors,grass,3:28,"62,306",Chicago Bears -4.0,37.0 (over),54 degrees, relative humidity 84%, wind 6 mph
2019,7,Baltimore Ravens,Seattle Seahawks,2019-10-20,4:25PM,Seattle,/boxscores/201910200sea.htm,Seahawks (deferred),,outdoors,fieldturf,3:05,"69,012",Seattle Seahawks -3.0,49.0 (under),50 degrees, relative humidity 79%, wind 8 mph
2019,7,Dallas Cowboys,Philadelphia Eagles,2019-10-20,8:20PM,Dallas,/boxscores/201910200dal.htm,Eagles,,retractable roof (closed),fieldturf,3:01,"91,213",Dallas Cowboys -3.0,50.0 (under),,,
2019,7,New England Patriots,New York Jets,2019-10-21,8:15PM,New York,/boxscores/201910210nyj.htm,Jets (deferred),,outdoors,fieldturf ,3:10,"78,523",New England Patriots -9.5,43.0 (under),58 degrees, relative humidity 73%, no wind
