year,week,team_1,team_2,date,time,location,boxscore_url,won_toss,won_OT_toss,roof,surface,duration,attendance,vegas_line,over_under,temp,humidity,wind
2019,12,Houston Texans,Indianapolis Colts,2019-11-21,8:20PM,Houston,/boxscores/201911210htx.htm,Texans (deferred),,retractable roof (closed),grass,2:58,"71,727",Houston Texans -3.5,46.0 (under),,,
2019,12,Tampa Bay Buccaneers,Atlanta Falcons,2019-11-24,1:00PM,Atlanta,/boxscores/201911240atl.htm,Falcons,,retractable roof (closed),fieldturf,3:22,"71,463",Atlanta Falcons -3.5,51.5 (over),,,
2019,12,Buffalo Bills,Denver Broncos,2019-11-24,1:00PM,Buffalo,/boxscores/201911240buf.htm,Bills (deferred),,outdoors,astroturf,2:57,"67,338",Buffalo Bills -3.5,37.0 (under),40 degrees, relative humidity 75%, wind 17 mph
2019,12,New Orleans Saints,Carolina Panthers,2019-11-24,1:00PM,New Orleans,/boxscores/201911240nor.htm,Panthers (deferred),,dome,astroturf,3:26,"73,068",New Orleans Saints -10.0,46.0 (over),,,
2019,12,Chicago Bears,New York Giants,2019-11-24,1:00PM,Chicago,/boxscores/201911240chi.htm,Bears (deferred),,outdoors,grass,3:02,"61,581",Chicago Bears -6.0,41.0 (under),48 degrees, relative humidity 59%, wind 12 mph
2019,12,Pittsburgh Steelers,Cincinnati Bengals,2019-11-24,1:00PM,Cincinnati,/boxscores/201911240cin.htm,Steelers (deferred),,outdoors,grass,3:08,"47,423",Pittsburgh Steelers -5.5,37.5 (under),46 degrees, relative humidity 62%, wind 10 mph
2019,12,Cleveland Browns,Miami Dolphins,2019-11-24,1:00PM,Cleveland,/boxscores/201911240cle.htm,Dolphins (deferred),,outdoors,grass,3:09,"67,431",Cleveland Browns -11.0,45.5 (over),39 degrees, relative humidity 73%, wind 14 mph
2019,12,Washington Redskins,Detroit Lions,2019-11-24,1:00PM,Washington,/boxscores/201911240was.htm,Lions (deferred),,outdoors,grass,3:15,"57,754",Detroit Lions -4.0,39.0 (under),46 degrees, relative humidity 56%, wind 17 mph
2019,12,New York Jets,Oakland Raiders,2019-11-24,1:00PM,New York,/boxscores/201911240nyj.htm,Jets (deferred),,outdoors,fieldturf ,2:52,"78,523",Oakland Raiders -3.5,45.0 (under),43 degrees, relative humidity 93%, wind 12 mph
2019,12,Seattle Seahawks,Philadelphia Eagles,2019-11-24,1:00PM,Philadelphia,/boxscores/201911240phi.htm,Seahawks (deferred),,outdoors,grass,3:12,"69,796",Seattle Seahawks -1.0,45.5 (under),40 degrees, relative humidity 78%, wind 17 mph
2019,12,Tennessee Titans,Jacksonville Jaguars,2019-11-24,4:05PM,Tennessee,/boxscores/201911240oti.htm,Titans (deferred),,outdoors,grass,3:01,"60,926",Tennessee Titans -4.5,42.0 (over),52 degrees, relative humidity 54%, wind 9 mph
2019,12,New England Patriots,Dallas Cowboys,2019-11-24,4:25PM,New England,/boxscores/201911240nwe.htm,Patriots (deferred),,outdoors,fieldturf,3:06,"65,878",New England Patriots -5.5,44.0 (under),38 degrees, relative humidity 90%, wind 16 mph
2019,12,San Francisco 49ers,Green Bay Packers,2019-11-24,8:20PM,San Francisco,/boxscores/201911240sfo.htm,49ers (deferred),,outdoors,grass,2:56,"71,500",San Francisco 49ers -3.0,48.0 (under),63 degrees, relative humidity 40%, wind 7 mph
2019,12,Baltimore Ravens,Los Angeles Rams,2019-11-25,8:15PM,Los Angeles,/boxscores/201911250ram.htm,Ravens (deferred),,outdoors,grass,2:54,"72,409",Baltimore Ravens -3.5,47.0 (over),62 degrees, relative humidity 64%, wind 5 mph
