name,team,year,week,position,xpa,xpm,fga,fgm,fg_distances,fpoints
Brandon Aubrey,DAL,2024,4,K,2,2,3,2,"['60', '40']",11.0
Greg Joseph,NYG,2024,4,K,0,0,5,5,"['52', '41', '38', '22', '42']",20.3
Blake Grupe,NOR,2024,4,K,3,3,1,1,['43'],7.3
Younghoe Koo,ATL,2024,4,K,2,2,4,4,"['53', '44', '42', '58']",21.7
Evan McPherson,CIN,2024,4,K,4,4,2,2,"['56', '46']",14.2
Eddy Pineiro,CAR,2024,4,K,3,3,1,1,['48'],7.8
Joshua Karty,LAR,2024,4,K,0,0,5,4,"['46', '37', '25', '52']",15.5
Cairo Santos,CHI,2024,4,K,3,3,1,1,['40'],7.0
Chris Boswell,PIT,2024,4,K,3,3,1,1,['50'],8.0
Matt Gay,IND,2024,4,K,3,3,3,2,"['33', '35']",8.8
Wil Lutz,DEN,2024,4,K,1,1,2,1,['47'],4.7
Greg Zuerlein,NYJ,2024,4,K,0,0,4,3,"['23', '35', '40']",9.5
Will Reichard,MIN,2024,4,K,4,4,1,1,['33'],7.3
Brayden Narveson,GNB,2024,4,K,3,3,2,0,0,1.0
Cam Little,JAX,2024,4,K,2,2,2,2,"['41', '52']",11.3
Ka'imi Fairbairn,HOU,2024,4,K,3,3,1,1,['30'],6.0
Jake Elliott,PHI,2024,4,K,2,2,0,0,0,2.0
Chase McLaughlin,TAM,2024,4,K,4,3,2,2,"['21', '52']",10.2
Austin Seibert,WAS,2024,4,K,4,4,2,2,"['45', '38']",12.3
Matt Prater,ARI,2024,4,K,2,2,0,0,0,2.0
Joey Slye,NWE,2024,4,K,1,1,2,2,"['63', '54']",12.7
Jake Moody,SFO,2024,4,K,3,3,3,3,"['22', '26', '41']",13.1
Dustin Hopkins,CLE,2024,4,K,2,1,1,1,['56'],5.6
Daniel Carlson,LVR,2024,4,K,2,2,2,2,"['52', '34']",10.6
Harrison Butker,KAN,2024,4,K,2,2,2,1,['37'],4.7
Cameron Dicker,LAC,2024,4,K,1,1,2,1,['50'],5.0
Tyler Bass,BUF,2024,4,K,1,1,2,1,['50'],5.0
Justin Tucker,BAL,2024,4,K,5,5,0,0,0,5.0
Nick Folk,TEN,2024,4,K,2,2,5,5,"['53', '52', '47', '51', '29']",25.299999999999997
Jason Sanders,MIA,2024,4,K,0,0,2,2,"['44', '56']",10.0
Jason Myers,SEA,2024,4,K,3,3,1,0,0,2.0
Jake Bates,DET,2024,4,K,6,6,0,0,0,6.0
