name,team,year,week,position,xpa,xpm,fga,fgm,fg_distances,fpoints
Matthew Wright,SFO,2024,6,K,3,3,3,3,"['25', '41', '35']",13.6
Jason Myers,SEA,2024,6,K,3,3,1,1,['20'],6.0
Cam Little,JAX,2024,6,K,1,1,1,1,['30'],4.0
Cairo Santos,CHI,2024,6,K,5,5,1,0,0,4.0
Dustin Hopkins,CLE,2024,6,K,1,1,4,3,"['43', '49', '31']",12.299999999999999
Jake Elliott,PHI,2024,6,K,2,2,3,2,"['49', '44']",10.3
Matt Gay,IND,2024,6,K,2,2,2,2,"['26', '22']",8.0
Nick Folk,TEN,2024,6,K,2,2,1,1,['44'],6.4
Chad Ryland,ARI,2024,6,K,1,1,2,2,"['38', '40']",8.8
Brayden Narveson,GNB,2024,6,K,4,4,3,2,"['36', '41']",10.7
Ka'imi Fairbairn,HOU,2024,6,K,5,5,3,2,"['39', '46']",12.5
Joey Slye,NWE,2024,6,K,3,3,0,0,0,3.0
Chase McLaughlin,TAM,2024,6,K,6,6,1,1,['26'],9.0
Blake Grupe,NOR,2024,6,K,3,3,2,2,"['42', '29']",10.2
Austin Seibert,WAS,2024,6,K,2,2,4,3,"['42', '55', '49']",15.600000000000001
Justin Tucker,BAL,2024,6,K,3,3,3,3,"['45', '32', '39']",14.6
Cameron Dicker,LAC,2024,6,K,2,2,3,3,"['20', '33', '46']",12.9
Wil Lutz,DEN,2024,6,K,1,1,1,1,['40'],5.0
Chris Boswell,PIT,2024,6,K,2,2,4,4,"['52', '49', '37', '36']",19.400000000000002
Daniel Carlson,LVR,2024,6,K,1,1,0,0,0,1.0
Younghoe Koo,ATL,2024,6,K,3,3,3,3,"['21', '31', '35']",12.6
Eddy Pineiro,CAR,2024,6,K,2,2,2,2,"['24', '40']",9.0
Jake Bates,DET,2024,6,K,5,5,4,4,"['40', '48', '33', '33']",20.400000000000002
Brandon Aubrey,DAL,2024,6,K,0,0,3,3,"['34', '47', '50']",13.1
Evan McPherson,CIN,2024,6,K,2,2,1,1,['37'],5.7
Greg Joseph,NYG,2024,6,K,1,1,2,0,0,-1.0
Tyler Bass,BUF,2024,6,K,3,2,2,1,['22'],3.0
Greg Zuerlein,NYJ,2024,6,K,2,2,4,2,"['34', '22']",6.4
