name,team,year,week,position,xpa,xpm,fga,fgm,fg_distances,fpoints
Greg Zuerlein,DAL,2021,1,K,3,2,5,3,"['35', '21', '48']",10.3
Ryan Succop,TAM,2021,1,K,4,4,1,1,['36'],7.6
Jake Elliott,PHI,2021,1,K,3,3,1,1,['43'],7.3
Younghoe Koo,ATL,2021,1,K,0,0,2,2,"['21', '27']",6.0
Chris Boswell,PIT,2021,1,K,2,2,3,3,"['24', '20', '45']",12.5
Tyler Bass,BUF,2021,1,K,1,1,3,3,"['37', '25', '42']",11.9
Ryan Santoso,CAR,2021,1,K,2,1,2,2,"['22', '29']",6.0
Greg Joseph,MIN,2021,1,K,3,3,1,1,['53'],8.3
Evan McPherson,CIN,2021,1,K,3,3,2,2,"['53', '34']",11.700000000000001
Jason Myers,SEA,2021,1,K,4,4,0,0,0,4.0
Rodrigo Blankenship,IND,2021,1,K,1,1,1,1,['21'],4.0
Matt Prater,ARI,2021,1,K,5,5,2,1,['34'],7.4
Michael Badgley,TEN,2021,1,K,2,1,1,0,0,-1.0
Robbie Gould,SFO,2021,1,K,5,5,3,2,"['40', '52']",13.2
Austin Seibert,DET,2021,1,K,2,2,2,1,['49'],5.9
Josh Lambo,JAX,2021,1,K,3,3,1,0,0,2.0
Joey Slye,HOU,2021,1,K,4,4,3,3,"['40', '25', '25']",14.0
Tristan Vizcaino,LAC,2021,1,K,2,2,2,2,"['33', '27']",8.3
Dustin Hopkins,WAS,2021,1,K,1,1,4,3,"['30', '43', '48']",12.100000000000001
Chase McLaughlin,CLE,2021,1,K,3,3,0,0,0,3.0
Harrison Butker,KAN,2021,1,K,3,3,2,2,"['28', '43']",10.3
Brandon McManus,DEN,2021,1,K,3,3,2,2,"['23', '36']",9.6
Graham Gano,NYG,2021,1,K,1,1,0,0,0,1.0
Mason Crosby,GNB,2021,1,K,0,0,1,1,['39'],3.9
Aldrick Rosas,NOR,2021,1,K,5,5,1,1,['44'],9.4
Jason Sanders,MIA,2021,1,K,2,2,1,1,['48'],6.8
Nick Folk,NWE,2021,1,K,1,1,3,3,"['27', '42', '33']",11.5
Cairo Santos,CHI,2021,1,K,2,2,0,0,0,2.0
Matt Gay,LAR,2021,1,K,4,4,2,2,"['53', '22']",12.3
Justin Tucker,BAL,2021,1,K,3,3,2,2,"['40', '47']",11.7
Daniel Carlson,LVR,2021,1,K,3,3,2,2,"['34', '55']",11.9
