name,team,position,fpoints_ppr,games,player_url,fpoints_ppr_per_game
Jakobi Meyers,LVR,WR,221.0,15,/players/M/MeyeJa01.htm,14.733333333333333
Patrick Mahomes,KAN,QB,300.0,16,/players/M/MahoPa00.htm,18.75
Brock Purdy,SFO,QB,287.9,15,/players/P/PurdBr00.htm,19.19333333333333
Geno Smith,SEA,QB,287.0,17,/players/S/SmitGe00.htm,16.88235294117647
Aaron Rodgers,NYJ,QB,275.6,17,/players/R/RodgAa00.htm,16.211764705882356
Caleb Williams,CHI,QB,271.5,17,/players/W/WillCa03.htm,15.970588235294118
Jordan Love,GNB,QB,247.9,15,/players/L/LoveJo03.htm,16.526666666666667
C.J. Stroud,HOU,QB,242.4,17,/players/S/StroCJ00.htm,14.258823529411766
Matthew Stafford,LAR,QB,227.6,16,/players/S/StafMa00.htm,14.225
Bryce Young,CAR,QB,212.0,14,/players/Y/YounBr01.htm,15.142857142857142
Tua Tagovailoa,MIA,QB,193.6,11,/players/T/TagoTu00.htm,17.599999999999998
Drake Maye,NWE,QB,199.1,13,/players/M/MayeDr00.htm,15.315384615384614
Kirk Cousins,ATL,QB,197.3,14,/players/C/CousKi00.htm,14.092857142857143
Russell Wilson,PIT,QB,187.8,11,/players/W/WilsRu00.htm,17.072727272727274
Anthony Richardson,IND,QB,184.4,11,/players/R/RichAn03.htm,16.763636363636365
Derek Carr,NOR,QB,158.9,10,/players/C/CarrDe02.htm,15.89
Rachaad White,TAM,RB,208.6,16,/players/W/WhitRa01.htm,13.0375
Zach Charbonnet,SEA,RB,192.9,17,/players/C/CharZa00.htm,11.347058823529412
Trevor Lawrence,JAX,QB,159.2,10,/players/L/LawrTr00.htm,15.919999999999998
Tyrone Tracy Jr.,NYG,RB,190.3,17,/players/T/TracTy00.htm,11.194117647058825
Rhamondre Stevenson,NWE,RB,184.9,15,/players/S/StevRh00.htm,12.326666666666666
Brian Robinson Jr.,WAS,RB,167.8,14,/players/R/RobiBr01.htm,11.985714285714286
Daniel Jones,NYG,QB,150.3,10,/players/J/JoneDa05.htm,15.030000000000001
Kenneth Walker III,SEA,RB,187.2,11,/players/W/WalkKe00.htm,17.018181818181816
Kareem Hunt,KAN,RB,161.4,13,/players/H/HuntKa00.htm,12.415384615384616
Jameis Winston,CLE,QB,148.1,12,/players/W/WinsJa00.htm,12.341666666666667
Rashod Bateman,BAL,WR,177.6,17,/players/B/BateRa00.htm,10.447058823529412
