name,team,position,fpoints_ppr,games,player_url,fpoints_ppr_per_game
Payne Durham,TAM,TE,37.5,16,/players/D/DurhPa00.htm,2.34375
D'Ernest Johnson,JAX,RB,38.9,14,/players/J/JohnDE04.htm,2.7785714285714285
Kendre Miller,NOR,RB,32.1,6,/players/M/MillKe01.htm,5.3500000000000005
Jaylen Wright,MIA,RB,30.7,15,/players/W/WrigJa04.htm,2.0466666666666664
Jahan Dotson,PHI,WR,44.9,17,/players/D/DotsJa00.htm,2.6411764705882352
Trey Palmer,TAM,WR,38.2,15,/players/P/PalmTr00.htm,2.546666666666667
Zamir White,LVR,RB,34.3,8,/players/W/WhitZa01.htm,4.2875
Ty Chandler,MIN,RB,31.4,17,/players/C/ChanTy01.htm,1.8470588235294116
Malik Heath,GNB,WR,31.7,13,/players/H/HeatMa00.htm,2.4384615384615382
Khalil Herbert,2TM,RB,34.5,14,/players/H/HerbKh00.htm,2.4642857142857144
Desmond Ridder,LVR,QB,28.9,6,/players/R/RiddDe00.htm,4.816666666666666
Brock Wright,DET,TE,38.0,17,/players/W/WrigBr01.htm,2.235294117647059
Mo Alie-Cox,IND,TE,35.7,17,/players/A/AlieMo00.htm,2.1
Mecole Hardman,KAN,WR,33.2,12,/players/H/HardMe00.htm,2.766666666666667
Sincere McCormick,LVR,RB,30.2,5,/players/M/McCoSi00.htm,6.04
Ja'Lynn Polk,NWE,WR,32.7,15,/players/P/PolkJa00.htm,2.18
Pierre Strong,CLE,RB,41.2,14,/players/S/StroPi00.htm,2.942857142857143
Jimmy Garoppolo,LAR,QB,23.9,1,/players/G/GaroJi00.htm,23.9
Tanner Hudson,CIN,TE,42.5,11,/players/H/HudsTa00.htm,3.8636363636363638
Dante Pettis,NOR,WR,35.0,8,/players/P/PettDa00.htm,4.375
Tyrod Taylor,NYJ,QB,20.1,2,/players/T/TaylTy00.htm,10.05
Michael Burton,DEN,FB,29.3,17,/players/B/BurtMi00.htm,1.723529411764706
Jamycal Hasty,NWE,RB,28.8,15,/players/H/HastJa02.htm,1.9200000000000002
Tyler Higbee,LAR,TE,26.6,3,/players/H/HigbTy00.htm,8.866666666666667
Charlie Kolar,BAL,TE,31.3,13,/players/K/KolaCh00.htm,2.4076923076923076
Kenny McIntosh,SEA,RB,25.4,17,/players/M/McInKe00.htm,1.4941176470588236
Joe Milton,NWE,QB,20.2,1,/players/M/MiltJo00.htm,20.2
Stone Smartt,LAC,TE,38.8,15,/players/S/SmarSt00.htm,2.5866666666666664
Cade Stover,HOU,TE,37.3,15,/players/S/StovCa00.htm,2.4866666666666664
DeeJay Dallas,ARI,RB,21.0,17,/players/D/DallDe00.htm,1.2352941176470589
Kylen Granson,IND,TE,35.2,17,/players/G/GranKy00.htm,2.070588235294118
Bub Means,NOR,WR,29.8,7,/players/M/MeanBu00.htm,4.257142857142857
Craig Reynolds,DET,RB,23.9,17,/players/R/ReynCr00.htm,1.4058823529411764
Robert Woods,HOU,WR,42.3,15,/players/W/WoodRo02.htm,2.82
Jake Bobo,SEA,WR,32.7,17,/players/B/BoboJa00.htm,1.9235294117647062
Jamison Crowder,WAS,WR,27.2,6,/players/C/CrowJa00.htm,4.533333333333333
Ashton Dulin,IND,WR,19.2,15,/players/D/DuliAs00.htm,1.28
Luke McCaffrey,WAS,WR,37.8,17,/players/M/McCaLu00.htm,2.2235294117647055
Andrew Ogletree,IND,TE,28.9,17,/players/O/OgleAn00.htm,1.7
Drew Sample,CIN,TE,39.5,17,/players/S/SampDr00.htm,2.323529411764706
Carson Steele,KAN,RB,28.9,17,/players/S/SteeCa00.htm,1.7
Erick All,CIN,TE,38.8,9,/players/A/AllxEr00.htm,4.311111111111111
Kevin Austin,NOR,WR,30.0,8,/players/A/AustKe00.htm,3.75
Michael Mayer,LVR,TE,39.6,11,/players/M/MayeMi00.htm,3.6
Eric Saubert,SFO,TE,26.7,17,/players/S/SaubEr00.htm,1.5705882352941176
Dorian Thompson-Robinson,CLE,QB,28.8,7,/players/T/ThomDo02.htm,4.114285714285715
Alec Ingold,MIA,FB,27.3,15,/players/I/IngoAl01.htm,1.82
Lucas Krull,DEN,TE,37.2,13,/players/K/KrulLu00.htm,2.8615384615384616
Hunter Luepke,DAL,RB,29.9,16,/players/L/LuepHu00.htm,1.86875
Bo Melton,GNB,WR,22.5,17,/players/M/MeltBo00.htm,1.3235294117647058
Jonathan Mingo,2TM,WR,36.2,17,/players/M/MingJo00.htm,2.1294117647058823
Mitchell Trubisky,BUF,QB,15.3,9,/players/T/TrubMi00.htm,1.7000000000000002
Tim Boyle,2TM,QB,14.9,3,/players/B/BoylTi00.htm,4.966666666666667
Jordan Mims,NOR,RB,26.1,11,/players/M/MimsJo00.htm,2.372727272727273
Patrick Ricard,BAL,FB,17.2,17,/players/R/RicaPa00.htm,1.011764705882353
Trent Sherfield,MIN,WR,22.3,17,/players/S/SherTr00.htm,1.311764705882353
Daniel Bellinger,NYG,TE,29.5,17,/players/B/BellDa00.htm,1.7352941176470589
Tommy DeVito,NYG,QB,13.5,3,/players/D/DeViTo00.htm,4.5
Jake Haener,NOR,QB,14.2,8,/players/H/HaenJa00.htm,1.775
Trey Lance,DAL,QB,13.7,4,/players/L/LancTr00.htm,3.425
Ronnie Rivers,LAR,RB,18.3,17,/players/R/RiveRo01.htm,1.076470588235294
Tyrell Shavers,BUF,WR,13.9,3,/players/S/ShavTy00.htm,4.633333333333334
Xavier Hutchinson,HOU,WR,26.7,16,/players/H/HutcXa00.htm,1.66875
Rakim Jarrett,TAM,WR,24.4,10,/players/J/JarrRa00.htm,2.44
Tony Jones,ARI,RB,11.5,1,/players/J/JoneTo04.htm,11.5
K.J. Osborn,2TM,WR,18.7,8,/players/O/OsboKJ00.htm,2.3375
Will Shipley,PHI,RB,15.7,16,/players/S/ShipWi00.htm,0.98125
Jermaine Burton,CIN,WR,17.7,14,/players/B/BurtJe01.htm,1.2642857142857142
Julius Chestnut,TEN,RB,16.3,17,/players/C/ChesJu00.htm,0.9588235294117647
Simi Fehoko,LAC,WR,19.6,8,/players/F/FehoSi00.htm,2.45
Tay Martin,TEN,WR,11.9,1,/players/M/MartTa00.htm,11.9
Jeremy Ruckert,NYJ,TE,31.5,17,/players/R/RuckJe00.htm,1.8529411764705883
Ainias Smith,PHI,WR,17.7,7,/players/S/SmitAi00.htm,2.5285714285714285
Blake Whiteheart,CLE,TE,17.1,11,/players/W/WhitBl01.htm,1.5545454545454547
Kenny Yeboah,NYJ,TE,15.7,9,/players/Y/YeboKe00.htm,1.7444444444444445
Connor Heyward,PIT,TE,16.0,17,/players/H/HeywCo00.htm,0.9411764705882353
Julian Hill,MIA,TE,25.0,16,/players/H/HillJu02.htm,1.5625
Davis Mills,HOU,QB,9.6,4,/players/M/MillDa02.htm,2.4
Quintin Morris,BUF,TE,14.6,16,/players/M/MorrQu00.htm,0.9125
Bryce Oliver,TEN,WR,15.5,10,/players/O/OlivBr02.htm,1.55
MyCole Pruitt,PIT,TE,16.0,12,/players/P/PruiMy00.htm,1.3333333333333333
Mason Tipton,NOR,WR,23.9,11,/players/T/TiptMa00.htm,2.1727272727272724
Johnny Wilson,PHI,WR,14.8,16,/players/W/WilsJo03.htm,0.925
Marquise Brown,KAN,WR,18.1,2,/players/B/BrowMa04.htm,9.05
Harrison Bryant,LVR,TE,17.6,13,/players/B/BryaHa00.htm,1.353846153846154
Parris Campbell,PHI,WR,15.0,5,/players/C/CampPa00.htm,3.0
DJ Chark,LAC,WR,13.1,7,/players/C/CharDJ00.htm,1.8714285714285714
Devin Culp,TAM,TE,13.8,5,/players/C/CulpDe00.htm,2.7600000000000002
C.J. Ham,MIN,FB,14.5,17,/players/H/HamxC.00.htm,0.8529411764705882
Chris Manhertz,NYG,TE,12.0,17,/players/M/ManhCh00.htm,0.7058823529411765
Ben Sinnott,WAS,TE,13.8,17,/players/S/SinnBe00.htm,0.8117647058823529
Brevyn Spann-Ford,DAL,TE,17.8,17,/players/S/SpanBr00.htm,1.0470588235294118
Deuce Vaughn,DAL,RB,11.8,7,/players/V/VaugDe00.htm,1.6857142857142857
Raheem Blackshear,CAR,RB,8.0,16,/players/B/BlacRa00.htm,0.5
Chris Conley,SFO,WR,13.6,15,/players/C/ConlCh00.htm,0.9066666666666666
Devin Duvernay,JAX,WR,19.2,13,/players/D/DuveDe00.htm,1.4769230769230768
Ryan Flournoy,DAL,WR,22.2,11,/players/F/FlouRy00.htm,2.018181818181818
Xavier Gipson,NYJ,WR,15.4,17,/players/G/GipsXa00.htm,0.9058823529411765
Zay Jones,ARI,WR,16.4,11,/players/J/JoneZa00.htm,1.4909090909090907
Jalen Reagor,LAC,WR,18.7,8,/players/R/ReagJa00.htm,2.3375
Skylar Thompson,MIA,QB,7.9,3,/players/T/ThomSk00.htm,2.6333333333333333
Devontez Walker,BAL,WR,9.1,9,/players/W/WalkDe01.htm,1.011111111111111
Kristian Wilkerson,LVR,WR,9.8,3,/players/W/WilkKr00.htm,3.266666666666667
Jeff Wilson,MIA,RB,10.6,9,/players/W/WilsJe01.htm,1.1777777777777778
Jacob Cowing,SFO,WR,11.7,15,/players/C/CowiJa00.htm,0.7799999999999999
River Cracraft,MIA,WR,13.6,8,/players/C/CracRi00.htm,1.7
Clyde Edwards-Helaire,NOR,RB,10.0,2,/players/E/EdwaCl00.htm,5.0
Luke Farrell,JAX,TE,18.7,17,/players/F/FarrLu00.htm,1.0999999999999999
Eric Gray,NYG,RB,19.3,17,/players/G/GrayEr01.htm,1.1352941176470588
Hayden Hurst,LAC,TE,15.3,9,/players/H/HursHa00.htm,1.7000000000000002
E.J. Jenkins,PHI,TE,7.7,8,/players/J/JenkEJ00.htm,0.9625
Scott Miller,PIT,WR,11.9,13,/players/M/MillSc01.htm,0.9153846153846155
Brandon Powell,MIN,WR,14.1,17,/players/P/PoweBr00.htm,0.8294117647058823
Ben Skowronek,PIT,WR,11.9,10,/players/S/SkowBe00.htm,1.19
Michael Woods II,CLE,WR,13.5,5,/players/W/WoodMi00.htm,2.7
Bailey Zappe,CLE,QB,9.0,1,/players/Z/ZappBa00.htm,9.0
Brandon Allen,SFO,QB,9.4,3,/players/A/AlleBr00.htm,3.1333333333333333
Tyler Badie,DEN,RB,10.4,3,/players/B/BadiTy00.htm,3.466666666666667
John Bates,WAS,TE,15.4,17,/players/B/BateJo00.htm,0.9058823529411765
Odell Beckham Jr.,MIA,WR,14.5,9,/players/B/BeckOd00.htm,1.6111111111111112
Jalin Hyatt,NYG,WR,14.2,16,/players/H/HyatJa00.htm,0.8875
Hunter Long,LAR,TE,13.0,17,/players/L/LongHu00.htm,0.7647058823529411
Keaton Mitchell,BAL,RB,6.8,5,/players/M/MitcKe01.htm,1.3599999999999999
Kene Nwangwu,NYJ,RB,6.0,2,/players/N/NwanKe00.htm,3.0
Laviska Shenault Jr.,2TM,WR,12.7,12,/players/S/ShenLa00.htm,1.0583333333333333
Ihmir Smith-Marsette,NYG,WR,6.0,15,/players/S/SmitIh00.htm,0.4
Mike Boone,CAR,RB,5.9,6,/players/B/BoonMi00.htm,0.9833333333333334
Jonathon Brooks,CAR,RB,7.5,3,/players/B/BrooJo02.htm,2.5
Pharaoh Brown,SEA,TE,13.5,15,/players/B/BrowPh01.htm,0.9
DeAndre Carter,CHI,WR,15.2,13,/players/C/CartDe02.htm,1.169230769230769
Peyton Hendershot,KAN,TE,10.1,7,/players/H/HendPe01.htm,1.4428571428571428
Charlie Jones,CIN,WR,6.5,8,/players/J/JoneCh11.htm,0.8125
Luke Musgrave,GNB,TE,11.5,7,/players/M/MusgLu00.htm,1.6428571428571428
Nikko Remigio,KAN,WR,6.8,5,/players/R/RemiNi00.htm,1.3599999999999999
Durham Smythe,MIA,TE,14.3,17,/players/S/SmytDu00.htm,0.8411764705882353
Tyquan Thornton,NWE,WR,8.7,6,/players/T/ThorTy00.htm,1.45
Sione Vaki,DET,RB,8.1,16,/players/V/VakiSi00.htm,0.50625
Carson Wentz,KAN,QB,4.7,3,/players/W/WentCa00.htm,1.5666666666666667
Charlie Woerner,ATL,TE,11.6,16,/players/W/WoerCh00.htm,0.725
Davis Allen,LAR,TE,9.9,15,/players/A/AlleDa02.htm,0.66
Treylon Burks,TEN,WR,7.5,5,/players/B/BurkTr00.htm,1.5
Dan Chisena,CAR,WR,6.7,6,/players/C/ChisDa00.htm,1.1166666666666667
D'Wayne Eskridge,MIA,WR,7.4,6,/players/E/EskrDW00.htm,1.2333333333333334
Gerald Everett,CHI,TE,11.6,17,/players/E/EverGe00.htm,0.6823529411764706
Tucker Fisk,LAC,TE,10.9,9,/players/F/FiskTu00.htm,1.2111111111111112
Tim Jones,JAX,WR,7.1,17,/players/J/JoneTi00.htm,0.41764705882352937
Jacob Kibodi,CLE,RB,4.9,1,/players/K/KiboJa00.htm,4.9
Terrace Marshall Jr.,LVR,WR,7.1,7,/players/M/MarsTe00.htm,1.0142857142857142
Tip Reiman,ARI,TE,9.7,17,/players/R/ReimTi00.htm,0.5705882352941176
Ben Sims,GNB,TE,8.2,17,/players/S/SimsBe00.htm,0.48235294117647054
Xavier Smith,LAR,WR,6.2,15,/players/S/SmitXa00.htm,0.41333333333333333
J.J. Taylor,HOU,RB,6.4,5,/players/T/TaylJJ01.htm,1.28
Cody White,SEA,WR,6.4,4,/players/W/WhitCo05.htm,1.6
Rasheen Ali,BAL,RB,3.1,6,/players/A/AlixRa00.htm,0.5166666666666667
Alex Bachman,LVR,WR,6.1,6,/players/B/BachAl00.htm,1.0166666666666666
David Bell,CLE,WR,5.7,1,/players/B/BellDa02.htm,5.7
Dalvin Cook,DAL,RB,4.0,2,/players/C/CookDa01.htm,2.0
Britain Covey,PHI,WR,10.4,5,/players/C/CoveBr00.htm,2.08
Greg Dulcich,2TM,TE,7.8,9,/players/D/DulcGr00.htm,0.8666666666666667
Cam Grandy,CIN,TE,7.8,8,/players/G/GranCa00.htm,0.975
Taylor Heinicke,LAC,QB,3.1,4,/players/H/HeinTa00.htm,0.775
Travis Homer,CHI,RB,6.4,10,/players/H/HomeTr00.htm,0.64
Hendon Hooker,DET,QB,2.7,3,/players/H/HookHe00.htm,0.9
Jermar Jefferson,DET,RB,4.2,2,/players/J/JeffJe00.htm,2.1
Terrell Jennings,NWE,RB,3.3,3,/players/J/JennTe00.htm,1.0999999999999999
Will Mallory,IND,TE,6.9,10,/players/M/MallWi00.htm,0.6900000000000001
Jase McClellan,ATL,RB,3.2,2,/players/M/McClJa05.htm,1.6
Allen Robinson,DET,WR,6.0,12,/players/R/RobiAl02.htm,0.5
Deven Thompkins,CAR,WR,6.7,7,/players/T/ThomDe07.htm,0.9571428571428572
Jaheim Bell,NWE,TE,4.0,15,/players/B/BellJa00.htm,0.26666666666666666
Ronnie Bell,SFO,WR,4.2,9,/players/B/BellRo01.htm,0.4666666666666667
Chris Blair,ATL,WR,2.7,4,/players/B/BlaiCh00.htm,0.675
Tanner Conner,MIA,TE,4.6,8,/players/C/ConnTa00.htm,0.575
Malachi Corley,NYJ,WR,6.2,9,/players/C/CorlMa00.htm,0.6888888888888889
Anthony Gould,IND,WR,3.3,8,/players/G/GoulAn00.htm,0.4125
Dallin Holker,NOR,TE,5.1,12,/players/H/HolkDa00.htm,0.425
Trenton Irwin,CIN,WR,4.5,7,/players/I/IrwiTr00.htm,0.6428571428571429
Mason Kinsey,TEN,WR,3.7,6,/players/K/KinsMa00.htm,0.6166666666666667
MarShawn Lloyd,GNB,RB,2.8,1,/players/L/LloyMa00.htm,2.8
Anthony Miller,BAL,WR,2.6,2,/players/M/MillAn02.htm,1.3
Aaron Shampklin,PIT,RB,1.7,3,/players/S/ShamAa00.htm,0.5666666666666667
Jamari Thrash,CLE,WR,5.2,9,/players/T/ThraJa01.htm,0.5777777777777778
Austin Trammell,JAX,WR,5.0,1,/players/T/TramAu00.htm,5.0
Jonathan Ward,PIT,RB,2.2,4,/players/W/WardJo00.htm,0.55
Blake Watson,DEN,RB,3.3,2,/players/W/WatsBl00.htm,1.65
Shane Zylstra,DET,TE,3.2,12,/players/Z/ZylsSh00.htm,0.26666666666666666
Kyle Allen,PIT,QB,0.8,1,/players/A/AlleKy00.htm,0.8
Robbie Chosen,MIA,WR,1.5,2,/players/A/AndeRo04.htm,0.75
Javon Baker,NWE,WR,2.2,11,/players/B/BakeJa00.htm,0.2
Chris Collier,2TM,RB,1.8,8,/players/C/CollCh01.htm,0.225
Jaelon Darden,2TM,WR,1.6,12,/players/D/DardJa00.htm,0.13333333333333333
Tyrion Davis-Price,PHI,RB,0.7,1,/players/D/DaviTy03.htm,0.7
Zach Davidson,BUF,TE,1.5,2,/players/D/DaviZa00.htm,0.75
Josiah Deguara,JAX,TE,4.4,15,/players/D/DeguJo00.htm,0.29333333333333333
Grant Dubose,MIA,WR,3.1,3,/players/D/DuboGr00.htm,1.0333333333333334
Ross Dwelley,ATL,TE,1.5,17,/players/D/DwelRo00.htm,0.08823529411764706
Jody Fortson,KAN,TE,1.5,3,/players/F/FortJo01.htm,0.5
Feleipe Franks,CAR,TE,2.2,16,/players/F/FranFe00.htm,0.1375
Myles Gaskin,MIN,RB,2.0,5,/players/G/GaskMy00.htm,0.4
Reggie Gilliam,BUF,FB,0.7,15,/players/G/GillRe00.htm,0.04666666666666666
Isaiah Hodgins,NYG,WR,3.2,3,/players/H/HodgIs00.htm,1.0666666666666667
George Holani,SEA,RB,1.9,5,/players/H/HolaGe00.htm,0.38
Brandon Johnson,PIT,WR,1.9,3,/players/J/JohnBr23.htm,0.6333333333333333
Collin Johnson,CHI,WR,1.6,9,/players/J/JohnCo01.htm,0.17777777777777778
Josh Johnson,BAL,QB,0.8,6,/players/J/JohnJo05.htm,0.13333333333333333
Kameron Johnson,TAM,WR,1.1,5,/players/J/JohnKa01.htm,0.22000000000000003
Brevin Jordan,HOU,TE,2.7,2,/players/J/JordBr00.htm,1.35
Ramel Keyton,LVR,WR,1.7,8,/players/K/KeytRa00.htm,0.2125
David Martin-Robinson,TEN,TE,1.6,5,/players/M/MartDa01.htm,0.32
Tyreik McAllister,LVR,WR,1.1,3,/players/M/McAlTy00.htm,0.3666666666666667
Nick Mullens,MIN,QB,1.3,4,/players/M/MullNi00.htm,0.325
Chris Oladokun,KAN,QB,0.5,1,/players/O/OladCh00.htm,0.5
Kendric Pryor,CIN,WR,1.9,1,/players/P/PryoKe00.htm,1.9
John Ross,PHI,WR,1.6,1,/players/R/RossJo00.htm,1.6
Cody Schrader,LAR,RB,1.9,1,/players/S/SchrCo00.htm,1.9
Tyler Scott,CHI,WR,1.5,11,/players/S/ScotTy00.htm,0.13636363636363635
John Samuel Shenker,LVR,TE,1.7,8,/players/S/ShenJo00.htm,0.2125
Jarrett Stidham,DEN,QB,0.5,3,/players/S/StidJa00.htm,0.16666666666666666
Jack Stoll,2TM,TE,3.0,11,/players/S/StolJa00.htm,0.2727272727272727
Geoff Swaim,CLE,TE,1.7,8,/players/S/SwaiGe00.htm,0.2125
Trent Taylor,SFO,WR,2.1,2,/players/T/TaylTr02.htm,1.05
Ian Thomas,CAR,TE,3.7,5,/players/T/ThomIa00.htm,0.74
Eric Tomlinson,LAC,TE,2.9,9,/players/T/TomlEr01.htm,0.3222222222222222
Casey Washington,ATL,WR,2.4,8,/players/W/WashCa01.htm,0.3
Mike White,BUF,QB,1.1,1,/players/W/WhitMi01.htm,1.1
Jared Wiley,KAN,TE,1.7,7,/players/W/WileJa00.htm,0.24285714285714285
Isaiah Williams,2TM,WR,2.6,8,/players/W/WillIs03.htm,0.325
Tyson Bagent,CHI,QB,-0.3,4,/players/B/BageTy00.htm,-0.075
British Brooks,HOU,RB,0.2,5,/players/B/BrooBr01.htm,0.04
Jake Browning,CIN,QB,-0.2,3,/players/B/BrowJa08.htm,-0.06666666666666667
Darrynton Evans,CHI,RB,0.3,5,/players/E/EvanDa02.htm,0.06
John FitzPatrick,GNB,TE,1.2,9,/players/F/FitzJo00.htm,0.13333333333333333
Jermaine Jackson,NOR,WR,-0.1,4,/players/J/JackJe01.htm,-0.025
Velus Jones Jr.,2TM,WR,1.9,3,/players/J/JoneVe00.htm,0.6333333333333333
Joshua Kelley,TEN,RB,0.2,3,/players/K/KellJo01.htm,0.06666666666666667
Marcedes Lewis,CHI,TE,1.2,17,/players/L/LewiMa00.htm,0.07058823529411765
James Proche,CLE,WR,4.1,9,/players/P/ProcJa00.htm,0.4555555555555555
Kyle Trask,TAM,QB,-0.2,4,/players/T/TrasKy00.htm,-0.05
Brycen Tremayne,WAS,WR,0.8,2,/players/T/TremBr00.htm,0.4
Ke'Shawn Vaughn,SFO,RB,0.4,3,/players/V/VaugKe00.htm,0.13333333333333333
Sam Howell,SEA,QB,0.2,2,/players/H/HoweSa00.htm,0.1
Dylan Laube,LVR,RB,-1.0,10,/players/L/LaubDy00.htm,-0.1
Steven Sims,2TM,WR,-1.0,9,/players/S/SimsSt00.htm,-0.1111111111111111
Kadarius Toney,CLE,WR,-1.4,3,/players/T/ToneKa00.htm,-0.4666666666666666
Clayton Tune,ARI,QB,-1.1,6,/players/T/TuneCl00.htm,-0.18333333333333335
Jha'Quan Jackson,TEN,WR,-0.7,12,/players/J/JackJh00.htm,-0.05833333333333333
