year,week,team_1,team_2,date,time,location,boxscore_url,won_toss,won_OT_toss,roof,surface,duration,attendance,vegas_line,over_under,temp,humidity,wind
2021,12,Chicago Bears,Detroit Lions,2021-11-25,12:30PM,Detroit,/boxscores/202111250det.htm,Lions (deferred),,dome,fieldturf ,3:05,"56,355",Chicago Bears -3.0,41.0 (under),,,
2021,12,Las Vegas Raiders,Dallas Cowboys,2021-11-25,4:30PM,Dallas,/boxscores/202111250dal.htm,Raiders (deferred),Cowboys,retractable roof (closed),matrixturf,3:53,"93,483",Dallas Cowboys -7.5,51.5 (over),,,
2021,12,Buffalo Bills,New Orleans Saints,2021-11-25,8:20PM,New Orleans,/boxscores/202111250nor.htm,Bills (deferred),,dome,sportturf,2:49,"69,170",Buffalo Bills -6.5,45.0 (under),,,
2021,12,Atlanta Falcons,Jacksonville Jaguars,2021-11-28,1:00PM,Jacksonville,/boxscores/202111280jax.htm,Jaguars (deferred),,outdoors,grass ,2:55,"60,031",Atlanta Falcons -2.0,45.5 (under),61 degrees, relative humidity 41%, wind 4 mph
2021,12,Cincinnati Bengals,Pittsburgh Steelers,2021-11-28,1:00PM,Cincinnati,/boxscores/202111280cin.htm,Steelers (deferred),,outdoors,fieldturf ,3:02,"63,238",Cincinnati Bengals -3.5,44.0 (over),43 degrees, relative humidity 65%, wind 12 mph
2021,12,New York Jets,Houston Texans,2021-11-28,1:00PM,Houston,/boxscores/202111280htx.htm,Jets (deferred),,retractable roof (closed),astroturf,2:57,"65,120",Houston Texans -2.5,44.5 (under),,,
2021,12,New York Giants,Philadelphia Eagles,2021-11-28,1:00PM,New York,/boxscores/202111280nyg.htm,Eagles (deferred),,outdoors,fieldturf ,2:57,"73,969",Philadelphia Eagles -3.5,45.5 (under),39 degrees, relative humidity 72%, wind 4 mph
2021,12,Miami Dolphins,Carolina Panthers,2021-11-28,1:00PM,Miami,/boxscores/202111280mia.htm,Panthers (deferred),,outdoors,grass ,2:56,"62,389",Carolina Panthers -2.5,42.0 (over),74 degrees, relative humidity 56%, wind 4 mph
2021,12,Tampa Bay Buccaneers,Indianapolis Colts,2021-11-28,1:00PM,Indianapolis,/boxscores/202111280clt.htm,Colts (deferred),,retractable roof (closed),fieldturf ,3:19,"66,140",Tampa Bay Buccaneers -3.0,53.5 (over),,,
2021,12,New England Patriots,Tennessee Titans,2021-11-28,1:00PM,New England,/boxscores/202111280nwe.htm,Patriots (deferred),,outdoors,fieldturf,2:57,"65,878",New England Patriots -7.0,43.5 (over),33 degrees, relative humidity 61%, wind 6 mph
2021,12,Denver Broncos,Los Angeles Chargers,2021-11-28,4:05PM,Denver,/boxscores/202111280den.htm,Chargers (deferred),,outdoors,grass ,3:05,"75,807",Los Angeles Chargers -3.0,47.0 (under),62 degrees, relative humidity 22%, no wind
2021,12,San Francisco 49ers,Minnesota Vikings,2021-11-28,4:25PM,San Francisco,/boxscores/202111280sfo.htm,49ers (deferred),,outdoors,grass,3:09,"71,493",San Francisco 49ers -3.5,49.0 (over),68 degrees, relative humidity 43%, wind 7 mph
2021,12,Green Bay Packers,Los Angeles Rams,2021-11-28,4:25PM,Green Bay,/boxscores/202111280gnb.htm,Packers (deferred),,outdoors,grass ,3:19,"77,948",Los Angeles Rams -2.0,46.5 (over),37 degrees, relative humidity 46%, wind 14 mph
2021,12,Baltimore Ravens,Cleveland Browns,2021-11-28,8:20PM,Baltimore,/boxscores/202111280rav.htm,Ravens (deferred),,outdoors,grass,3:14,"70,355",Baltimore Ravens -3.5,47.0 (under),43 degrees, relative humidity 70%, no wind
2021,12,Washington Football Team,Seattle Seahawks,2021-11-29,8:15PM,Washington Football,/boxscores/202111290was.htm,Seahawks (deferred),,outdoors,grass ,3:09,"52,680",Pick,47.0 (under),41 degrees, relative humidity 51%, wind 9 mph
