name,team,year,week,position,xpa,xpm,fga,fgm,fg_distances,fpoints
Wil Lutz,DEN,2024,7,K,3,3,4,4,"['46', '32', '52', '38']",19.8
Blake Grupe,NOR,2024,7,K,1,1,1,1,['35'],4.5
Joey Slye,NWE,2024,7,K,1,1,1,1,['41'],5.1
Cam Little,JAX,2024,7,K,3,3,1,1,['21'],6.0
Jake Bates,DET,2024,7,K,4,4,1,1,['44'],8.4
Will Reichard,MIN,2024,7,K,2,2,3,3,"['57', '42', '48']",16.7
Jason Myers,SEA,2024,7,K,4,4,2,2,"['38', '59']",13.7
Younghoe Koo,ATL,2024,7,K,2,2,1,0,0,1.0
Nick Folk,TEN,2024,7,K,1,1,1,1,['25'],4.0
Tyler Bass,BUF,2024,7,K,4,4,2,2,"['28', '30']",10.0
Evan McPherson,CIN,2024,7,K,3,3,1,0,0,2.0
Dustin Hopkins,CLE,2024,7,K,1,0,1,0,0,-2.0
Jason Sanders,MIA,2024,7,K,1,1,2,1,['33'],3.3
Matt Gay,IND,2024,7,K,1,1,3,3,"['52', '22', '38']",13.0
Ka'imi Fairbairn,HOU,2024,7,K,1,1,3,3,"['23', '52', '35']",12.7
Brandon McManus,GNB,2024,7,K,3,3,1,1,['45'],7.5
Jake Elliott,PHI,2024,7,K,4,4,0,0,0,4.0
Greg Joseph,NYG,2024,7,K,0,0,1,1,['38'],3.8
Eddy Pineiro,CAR,2024,7,K,1,1,0,0,0,1.0
Austin Seibert,WAS,2024,7,K,4,4,4,4,"['23', '49', '31', '29']",18.0
Daniel Carlson,LVR,2024,7,K,0,0,5,5,"['38', '47', '38', '27', '27']",18.3
Joshua Karty,LAR,2024,7,K,3,2,1,0,0,0.0
Harrison Butker,KAN,2024,7,K,4,4,0,0,0,4.0
Anders Carlson,SFO,2024,7,K,1,0,2,2,"['55', '24']",7.5
Greg Zuerlein,NYJ,2024,7,K,1,1,1,0,0,0.0
Chris Boswell,PIT,2024,7,K,4,4,3,3,"['46', '29', '21']",14.6
Justin Tucker,BAL,2024,7,K,5,5,2,2,"['28', '52']",13.2
Chase McLaughlin,TAM,2024,7,K,2,2,2,1,['23'],4.0
Cameron Dicker,LAC,2024,7,K,0,0,5,5,"['59', '50', '28', '47', '40']",22.6
Chad Ryland,ARI,2024,7,K,2,2,1,1,['32'],5.2
