name,team,year,week,position,xpa,xpm,fga,fgm,fg_distances,fpoints
Cairo Santos,CHI,2024,13,K,2,2,0,0,0,2.0
Jake Bates,DET,2024,13,K,2,2,4,3,"['30', '36', '48']",12.399999999999999
Graham Gano,NYG,2024,13,K,2,2,2,2,"['46', '47']",11.3
Brandon Aubrey,DAL,2024,13,K,3,3,2,2,"['23', '33']",9.3
Jason Sanders,MIA,2024,13,K,0,0,1,1,['33'],3.3
Brandon McManus,GNB,2024,13,K,3,3,3,3,"['46', '24', '33']",13.899999999999999
Daniel Carlson,LVR,2024,13,K,2,2,4,1,['27'],2.0
Matthew Wright,KAN,2024,13,K,1,1,5,4,"['25', '42', '35', '32']",13.899999999999999
Matt Gay,IND,2024,13,K,2,2,1,1,['25'],5.0
Joey Slye,NWE,2024,13,K,1,1,5,3,"['35', '31', '54']",11.0
Chad Ryland,ARI,2024,13,K,1,1,6,5,"['32', '31', '24', '40', '23']",16.3
John Parker Romo,MIN,2024,13,K,2,2,4,3,"['44', '55', '31']",14.0
Ka'imi Fairbairn,HOU,2024,13,K,2,2,3,3,"['53', '30', '28']",13.3
Cam Little,JAX,2024,13,K,0,0,3,2,"['33', '30']",5.3
Nick Folk,TEN,2024,13,K,1,1,2,2,"['41', '44']",9.5
Zane Gonzalez,WAS,2024,13,K,6,6,2,0,0,4.0
Chris Boswell,PIT,2024,13,K,5,5,4,3,"['50', '34', '30']",15.399999999999999
Evan McPherson,CIN,2024,13,K,5,5,1,1,['38'],8.8
Cameron Dicker,LAC,2024,13,K,0,0,3,3,"['45', '51', '34']",13.0
Younghoe Koo,ATL,2024,13,K,1,1,3,2,"['41', '26']",7.1
Jason Myers,SEA,2024,13,K,3,2,2,2,"['54', '43']",10.7
Anders Carlson,NYJ,2024,13,K,2,1,0,0,0,0.0
Joshua Karty,LAR,2024,13,K,3,3,0,0,0,3.0
Blake Grupe,NOR,2024,13,K,0,0,3,2,"['54', '54']",9.8
Chase McLaughlin,TAM,2024,13,K,2,2,5,4,"['27', '26', '51', '30']",15.100000000000001
Eddy Piñeiro,CAR,2024,13,K,2,2,5,3,"['47', '27', '22']",10.7
Jake Elliott,PHI,2024,13,K,3,3,1,1,['35'],6.5
Justin Tucker,BAL,2024,13,K,2,1,4,2,"['34', '50']",6.4
Jake Moody,SFO,2024,13,K,1,1,3,1,['33'],2.3
Tyler Bass,BUF,2024,13,K,5,5,1,0,0,4.0
Dustin Hopkins,CLE,2024,13,K,3,3,2,1,['45'],6.5
Wil Lutz,DEN,2024,13,K,5,5,2,2,"['36', '27']",11.6
