year,week,team_1,team_2,date,time,location,boxscore_url,won_toss,won_OT_toss,roof,surface,duration,attendance,vegas_line,over_under,temp,humidity,wind
2012,8,Tampa Bay Buccaneers,Minnesota Vikings,2012-10-25,8:29PM,Minnesota,/boxscores/201210250min.htm,Buccaneers (deferred),,dome,sportturf,3:20,"60,860",Minnesota Vikings -5.5,43.0 (over),,,
2012,8,Pittsburgh Steelers,Washington Redskins,2012-10-28,1:02PM,Pittsburgh,/boxscores/201210280pit.htm,Steelers,,outdoors,grass ,2:52,"62,371",Pittsburgh Steelers -4.5,44.0 (under),45 degrees, relative humidity 88%, wind 10 mph
2012,8,Atlanta Falcons,Philadelphia Eagles,2012-10-28,1:03PM,Philadelphia,/boxscores/201210280phi.htm,Eagles (deferred),,outdoors,grass ,3:04,"69,144",Philadelphia Eagles -3.0,43.0 (over),58 degrees, relative humidity 75%," wind 16 mph, wind chill 0"
2012,8,Chicago Bears,Carolina Panthers,2012-10-28,1:03PM,Chicago,/boxscores/201210280chi.htm,Bears (deferred),,outdoors,grass ,3:06,"62,254",Chicago Bears -7.5,41.5 (over),49 degrees, relative humidity 51%, wind 18 mph
2012,8,Detroit Lions,Seattle Seahawks,2012-10-28,1:03PM,Detroit,/boxscores/201210280det.htm,Lions,,dome,fieldturf ,2:59,"63,497",Detroit Lions -3.0,42.5 (over),,,
2012,8,Green Bay Packers,Jacksonville Jaguars,2012-10-28,1:05PM,Green Bay,/boxscores/201210280gnb.htm,Packers (deferred),,outdoors,grass ,3:14,"70,464",Green Bay Packers -16.0,45.5 (under),44 degrees, relative humidity 47%, wind 10 mph
2012,8,Indianapolis Colts,Tennessee Titans,2012-10-28,1:06PM,Tennessee,/boxscores/201210280oti.htm,Titans,Colts,outdoors,grass ,3:07,"69,143",Tennessee Titans -3.0,47.0 (under),52 degrees, relative humidity 49%, wind 18 mph
2012,8,Miami Dolphins,New York Jets,2012-10-28,1:06PM,New York,/boxscores/201210280nyj.htm,Jets (deferred),,outdoors,fieldturf,3:07,"79,088",New York Jets -1.0,39.0 (push),60 degrees, relative humidity 62%," wind 9 mph, wind chill 0"
2012,8,Cleveland Browns,San Diego Chargers,2012-10-28,1:06PM,Cleveland,/boxscores/201210280cle.htm,Browns (deferred),,outdoors,grass ,2:57,"65,337",San Diego Chargers -3.0,41.0 (under),44 degrees, relative humidity 89%, wind 19 mph
2012,8,New England Patriots,St. Louis Rams,2012-10-28,1:06PM,St. Louis,/boxscores/201210280ram.htm,Patriots (deferred),,outdoors,astroplay,3:07,"84,004",New England Patriots -7.0,46.0 (over),49 degrees, relative humidity 84%, wind 9 mph
2012,8,Oakland Raiders,Kansas City Chiefs,2012-10-28,4:06PM,Kansas City,/boxscores/201210280kan.htm,Raiders,,outdoors,grass ,3:00,"74,730",Kansas City Chiefs -1.0,42.5 (under),50 degrees, relative humidity 40%, wind 3 mph
2012,8,New York Giants,Dallas Cowboys,2012-10-28,4:25PM,Dallas,/boxscores/201210280dal.htm,Giants,,retractable roof (open),matrixturf,3:25,"94,067",New York Giants -2.5,48.0 (over),,,
2012,8,Denver Broncos,New Orleans Saints,2012-10-28,8:30PM,Denver,/boxscores/201210280den.htm,Saints,,outdoors,grass ,3:03,"76,832",Denver Broncos -6.5,55.0 (under),59 degrees, relative humidity 30%," wind 5 mph, wind chill 0"
2012,8,San Francisco 49ers,Arizona Cardinals,2012-10-29,8:40PM,Arizona,/boxscores/201210290crd.htm,49ers,,retractable roof (closed),grass ,2:52,"62,810",San Francisco 49ers -7.0,38.5 (under),,,
