year,week,team_1,team_2,date,time,location,boxscore_url,won_toss,won_OT_toss,roof,surface,duration,attendance,vegas_line,over_under,temp,humidity,wind
2010,17,Tampa Bay Buccaneers,New Orleans Saints,2011-01-02,1:00PM,New Orleans,/boxscores/201101020nor.htm,Buccaneers,,dome,sportturf,3:05,"70,068",New Orleans Saints -7.0,47.0 (under),,,
2010,17,Baltimore Ravens,Cincinnati Bengals,2011-01-02,1:02PM,Baltimore,/boxscores/201101020rav.htm,Ravens (deferred),,outdoors,fieldturf ,3:00,"71,088",Baltimore Ravens -9.5,43.0 (under),51 degrees, relative humidity 73%," wind 7 mph, wind chill 0"
2010,17,Pittsburgh Steelers,Cleveland Browns,2011-01-02,1:02PM,Cleveland,/boxscores/201101020cle.htm,Steelers (deferred),,outdoors,grass ,3:11,"68,303",Pittsburgh Steelers -6.5,38.0 (over),25 degrees, relative humidity 51%," wind 14 mph, wind chill 13"
2010,17,Oakland Raiders,Kansas City Chiefs,2011-01-02,1:02PM,Kansas City,/boxscores/201101020kan.htm,Raiders (deferred),,outdoors,grass ,3:04,"67,045",Kansas City Chiefs -4.5,43.5 (under),30 degrees, relative humidity 40%," wind 12 mph, wind chill 20"
2010,17,New England Patriots,Miami Dolphins,2011-01-02,1:02PM,New England,/boxscores/201101020nwe.htm,Patriots (deferred),,outdoors,fieldturf ,2:56,"68,756",New England Patriots -6.0,44.0 (over),47 degrees, relative humidity 91%, wind 5 mph
2010,17,Atlanta Falcons,Carolina Panthers,2011-01-02,1:03PM,Atlanta,/boxscores/201101020atl.htm,Falcons,,dome,fieldturf ,3:03,"67,349",Atlanta Falcons -14.5,41.5 (under),,,
2010,17,New York Jets,Buffalo Bills,2011-01-02,1:03PM,New York,/boxscores/201101020nyj.htm,Jets (deferred),,outdoors,fieldturf,2:42,"79,019",New York Jets -1.5,38.0 (over),48 degrees, relative humidity 78%, wind 5 mph
2010,17,Detroit Lions,Minnesota Vikings,2011-01-02,1:03PM,Detroit,/boxscores/201101020det.htm,Vikings,,dome,fieldturf ,2:51,"57,013",Detroit Lions -3.5,43.5 (under),,,
2010,17,Green Bay Packers,Chicago Bears,2011-01-02,4:15PM,Green Bay,/boxscores/201101020gnb.htm,Bears (deferred),,outdoors,grass ,2:51,"70,833",Green Bay Packers -10.5,43.5 (under),19 degrees, relative humidity 49%," wind 14 mph, wind chill 5"
2010,17,San Francisco 49ers,Arizona Cardinals,2011-01-02,4:15PM,San Francisco,/boxscores/201101020sfo.htm,Cardinals,,outdoors,grass ,3:24,"69,732",San Francisco 49ers -6.0,39.0 (over),49 degrees, relative humidity 85%," wind 3 mph, wind chill 0"
2010,17,Dallas Cowboys,Philadelphia Eagles,2011-01-02,4:15PM,Philadelphia,/boxscores/201101020phi.htm,Cowboys,,outdoors,grass ,3:00,"69,144",Pick,43.5 (under),40 degrees, relative humidity 66%, wind 10 mph
2010,17,San Diego Chargers,Denver Broncos,2011-01-02,4:15PM,Denver,/boxscores/201101020den.htm,Chargers,,outdoors,grass ,3:14,"74,155",San Diego Chargers -3.5,47.5 (over),42 degrees, relative humidity 22%," wind 4 mph, wind chill 0"
2010,17,Houston Texans,Jacksonville Jaguars,2011-01-02,4:15PM,Houston,/boxscores/201101020htx.htm,Jaguars (deferred),,retractable roof (open),grass ,2:50,"71,023",Houston Texans -4.0,48.0 (over),,,
2010,17,Indianapolis Colts,Tennessee Titans,2011-01-02,4:16PM,Indianapolis,/boxscores/201101020clt.htm,Titans,,retractable roof (closed),fieldturf ,2:54,"67,188",Indianapolis Colts -9.5,48.0 (under),,,
2010,17,New York Giants,Washington Redskins,2011-01-02,4:16PM,Washington,/boxscores/201101020was.htm,Giants,,outdoors,grass ,2:57,"76,189",New York Giants -4.0,44.5 (under),37 degrees, relative humidity 79%, wind 7 mph
2010,17,Seattle Seahawks,St. Louis Rams,2011-01-02,8:31PM,Seattle,/boxscores/201101020sea.htm,Seahawks,,outdoors,fieldturf ,2:57,"67,325",St. Louis Rams -3.0,41.5 (under),34 degrees, relative humidity 0%," wind 4 mph, wind chill 30"
