name,team,year,week,position,xpa,xpm,fga,fgm,fg_distances,fpoints
Younghoe Koo,ATL,2021,17,K,1,1,2,2,"['28', '24']",7.0
Tyler Bass,BUF,2021,17,K,3,3,0,0,0,3.0
Lirim Hajrullahu,CAR,2021,17,K,1,1,2,1,['32'],3.2
Brett Maher,NOR,2021,17,K,1,0,4,4,"['41', '27', '41', '33']",13.5
Graham Gano,NYG,2021,17,K,0,0,1,1,['38'],3.8
Cairo Santos,CHI,2021,17,K,3,3,2,2,"['21', '44']",10.4
Harrison Butker,KAN,2021,17,K,4,4,1,1,['34'],7.4
Evan McPherson,CIN,2021,17,K,4,4,2,2,"['46', '20']",11.6
Daniel Carlson,LVR,2021,17,K,2,2,3,3,"['47', '44', '33']",14.400000000000002
Michael Badgley,IND,2021,17,K,2,2,2,2,"['46', '41']",10.7
Matthew Wright,JAX,2021,17,K,1,1,1,1,['29'],4.0
Nick Folk,NWE,2021,17,K,6,5,1,1,['43'],8.3
Jason Sanders,MIA,2021,17,K,0,0,2,1,['39'],2.9
Randy Bullock,TEN,2021,17,K,4,4,2,2,"['23', '44']",11.4
Ryan Succop,TAM,2021,17,K,2,2,2,2,"['39', '27']",8.9
Eddy Piñeiro,NYJ,2021,17,K,3,3,1,1,['51'],8.1
Jake Elliott,PHI,2021,17,K,2,2,2,2,"['42', '41']",10.3
Joey Slye,WAS,2021,17,K,1,1,3,3,"['31', '39', '55']",13.5
Brandon McManus,DEN,2021,17,K,1,1,2,2,"['61', '23']",10.1
Dustin Hopkins,LAC,2021,17,K,4,4,2,2,"['19', '23']",10.0
Ka'imi Fairbairn,HOU,2021,17,K,1,1,1,0,0,0.0
Robbie Gould,SFO,2021,17,K,2,2,3,3,"['37', '27', '36']",12.299999999999999
Matt Prater,ARI,2021,17,K,1,1,4,4,"['24', '53', '26', '38']",16.1
Greg Zuerlein,DAL,2021,17,K,2,2,1,0,0,1.0
Riley Patterson,DET,2021,17,K,3,3,1,0,0,2.0
Jason Myers,SEA,2021,17,K,6,6,3,3,"['51', '36', '42']",18.9
Matt Gay,LAR,2021,17,K,2,2,1,0,0,1.0
Justin Tucker,BAL,2021,17,K,1,1,4,4,"['22', '46', '46', '34']",16.599999999999998
Greg Joseph,MIN,2021,17,K,1,1,1,1,['51'],6.1
Mason Crosby,GNB,2021,17,K,4,4,3,3,"['35', '36', '37']",14.8
Chase McLaughlin,CLE,2021,17,K,2,2,0,0,0,2.0
Chris Boswell,PIT,2021,17,K,2,2,4,4,"['22', '30', '50', '48']",17.8
