name,team,position,fpoints_ppr,games,player_url,fpoints_ppr_per_game
Jonathan Taylor,IND,RB,316.0,13,/players/T/TaylJo02.htm,24.307692307692307
Jahmyr Gibbs,DET,RB,313.6,13,/players/G/GibbJa01.htm,24.123076923076926
Christian McCaffrey,SFO,RB,334.5,13,/players/M/McCaCh01.htm,25.73076923076923
Jaxon Smith-Njigba,SEA,WR,291.4,13,/players/S/SmitJa06.htm,22.415384615384614
De'Von Achane,MIA,RB,277.9,13,/players/A/AchaDe00.htm,21.376923076923074
Bijan Robinson,ATL,RB,272.3,13,/players/R/RobiBi01.htm,20.946153846153848
Josh Allen,BUF,QB,328.0,13,/players/A/AlleJo02.htm,25.23076923076923
James Cook,BUF,RB,243.5,13,/players/C/CookJa01.htm,18.73076923076923
George Pickens,DAL,WR,248.9,13,/players/P/PickGe00.htm,19.146153846153847
Puka Nacua,LAR,WR,262.9,12,/players/N/NacuPu00.htm,21.90833333333333
Davante Adams,LAR,WR,214.8,13,/players/A/AdamDa01.htm,16.523076923076925
Trey McBride,ARI,TE,237.7,13,/players/M/McBrTr01.htm,18.284615384615385
Amon-Ra St. Brown,DET,WR,236.5,13,/players/S/StxxAm00.htm,18.192307692307693
Javonte Williams,DAL,RB,218.0,13,/players/W/WillJa10.htm,16.76923076923077
Kyren Williams,LAR,RB,210.9,13,/players/W/WillKy02.htm,16.223076923076924
Josh Jacobs,GNB,RB,214.8,12,/players/J/JacoJo01.htm,17.900000000000002
Derrick Henry,BAL,RB,196.5,13,/players/H/HenrDe00.htm,15.115384615384615
Patrick Mahomes,KAN,QB,288.6,13,/players/M/MahoPa00.htm,22.200000000000003
Travis Etienne,JAX,RB,195.8,13,/players/E/EtieTr00.htm,15.061538461538463
Matthew Stafford,LAR,QB,269.2,13,/players/S/StafMa00.htm,20.707692307692305
Dak Prescott,DAL,QB,276.3,13,/players/P/PresDa01.htm,21.253846153846155
Drake Maye,NWE,QB,273.6,13,/players/M/MayeDr00.htm,21.04615384615385
Ja'Marr Chase,CIN,WR,225.9,12,/players/C/ChasJa00.htm,18.825
Rico Dowdle,CAR,RB,189.3,13,/players/D/DowdRi01.htm,14.561538461538463
Saquon Barkley,PHI,RB,194.1,13,/players/B/BarkSa00.htm,14.930769230769231
Nico Collins,HOU,WR,188.1,12,/players/C/CollNi00.htm,15.674999999999999
Tee Higgins,CIN,WR,171.7,12,/players/H/HiggTe00.htm,14.308333333333332
Jalen Hurts,PHI,QB,263.9,13,/players/H/HurtJa00.htm,20.299999999999997
Jaylen Waddle,MIA,WR,179.6,13,/players/W/WaddJa00.htm,13.815384615384614
Emeka Egbuka,TAM,WR,176.5,13,/players/E/EgbuEm01.htm,13.576923076923077
Tetairoa McMillan,CAR,WR,178.6,13,/players/M/McMiTe00.htm,13.738461538461538
Breece Hall,NYJ,RB,180.8,13,/players/H/HallBr03.htm,13.907692307692308
Jameson Williams,DET,WR,165.4,13,/players/W/WillJa11.htm,12.723076923076924
Travis Kelce,KAN,TE,167.8,13,/players/K/KelcTr00.htm,12.907692307692308
D'Andre Swift,CHI,RB,177.3,12,/players/S/SwifDA00.htm,14.775
Drake London,ATL,WR,181.0,9,/players/L/LondDr00.htm,20.11111111111111
A.J. Brown,PHI,WR,180.9,12,/players/B/BrowAJ00.htm,15.075000000000001
Ashton Jeanty,LVR,RB,190.4,13,/players/J/JeanAs00.htm,14.646153846153847
Michael Pittman Jr.,IND,WR,185.9,13,/players/P/PittMi01.htm,14.3
Tyler Warren,IND,TE,163.7,13,/players/W/WarrTy00.htm,12.592307692307692
Quinshon Judkins,CLE,RB,161.0,12,/players/J/JudkQu00.htm,13.416666666666666
D.K. Metcalf,PIT,WR,167.5,13,/players/M/MetcDK00.htm,12.884615384615385
Brock Bowers,LVR,TE,156.1,10,/players/B/BoweBr01.htm,15.61
Chase Brown,CIN,RB,191.6,13,/players/B/BrowCh10.htm,14.738461538461538
Courtland Sutton,DEN,WR,168.3,13,/players/S/SuttCo00.htm,12.946153846153846
Caleb Williams,CHI,QB,251.6,13,/players/W/WillCa03.htm,19.353846153846153
Chris Olave,NOR,WR,188.8,13,/players/O/OlavCh00.htm,14.523076923076925
Jake Ferguson,DAL,TE,175.5,13,/players/F/FergJa00.htm,13.5
CeeDee Lamb,DAL,WR,164.7,10,/players/L/LambCe00.htm,16.47
Jaylen Warren,PIT,RB,164.9,12,/players/W/WarrJa01.htm,13.741666666666667
Hunter Henry,NWE,TE,139.0,13,/players/H/HenrHu00.htm,10.692307692307692
Justin Herbert,LAC,QB,250.1,13,/players/H/HerbJu00.htm,19.23846153846154
Dallas Goedert,PHI,TE,141.1,12,/players/G/GoedDa00.htm,11.758333333333333
Bo Nix,DEN,QB,246.6,13,/players/N/NixxBo00.htm,18.96923076923077
Rome Odunze,CHI,WR,149.1,12,/players/O/OdunRo00.htm,12.424999999999999
DeVonta Smith,PHI,WR,168.9,13,/players/S/SmitDe07.htm,12.992307692307692
Wan'Dale Robinson,NYG,WR,177.0,13,/players/R/RobiWa01.htm,13.615384615384615
Jared Goff,DET,QB,237.8,13,/players/G/GoffJa00.htm,18.292307692307695
Ladd McConkey,LAC,WR,161.5,13,/players/M/McCoLa00.htm,12.423076923076923
Daniel Jones,IND,QB,243.4,13,/players/J/JoneDa05.htm,18.723076923076924
David Montgomery,DET,RB,150.8,13,/players/M/MontDa01.htm,11.600000000000001
Harold Fannin,CLE,TE,147.9,13,/players/F/FannHa00.htm,11.376923076923077
Tucker Kraft,GNB,TE,120.2,8,/players/K/KrafTu00.htm,15.025
Deebo Samuel,WAS,WR,162.0,12,/players/S/SamuDe00.htm,13.5
Zay Flowers,BAL,WR,168.5,13,/players/F/FlowZa00.htm,12.961538461538462
Quentin Johnston,LAC,WR,140.0,12,/players/J/JohnQu02.htm,11.666666666666666
Kareem Hunt,KAN,RB,138.9,13,/players/H/HuntKa00.htm,10.684615384615386
Justin Jefferson,MIN,WR,160.4,13,/players/J/JeffJu00.htm,12.338461538461539
Kenneth Walker III,SEA,RB,144.6,13,/players/W/WalkKe00.htm,11.123076923076923
Rashee Rice,KAN,WR,141.0,7,/players/R/RiceRa01.htm,20.142857142857142
TreVeyon Henderson,NWE,RB,155.4,13,/players/H/HendTr02.htm,11.953846153846154
Tre Tucker,LVR,WR,140.0,13,/players/T/TuckTr00.htm,10.76923076923077
Dalton Kincaid,BUF,TE,114.9,9,/players/K/KincDa00.htm,12.766666666666667
Juwan Johnson,NOR,TE,139.4,13,/players/J/JohnJu02.htm,10.723076923076924
Jordan Love,GNB,QB,229.4,13,/players/L/LoveJo03.htm,17.646153846153847
Trevor Lawrence,JAX,QB,236.3,13,/players/L/LawrTr00.htm,18.176923076923078
Baker Mayfield,TAM,QB,223.4,13,/players/M/MayfBa00.htm,17.184615384615384
Sam Darnold,SEA,QB,208.7,13,/players/D/DarnSa00.htm,16.053846153846152
Lamar Jackson,BAL,QB,189.1,10,/players/J/JackLa00.htm,18.91
Jaxson Dart,NYG,QB,184.9,10,/players/D/DartJa00.htm,18.490000000000002
Aaron Rodgers,PIT,QB,180.5,12,/players/R/RodgAa00.htm,15.041666666666666
