year,week,team_1,team_2,date,time,location,boxscore_url,won_toss,won_OT_toss,roof,surface,duration,attendance,vegas_line,over_under,temp,humidity,wind
2021,11,New England Patriots,Atlanta Falcons,2021-11-18,8:20PM,Atlanta,/boxscores/202111180atl.htm,Falcons (deferred),,retractable roof (closed),fieldturf,2:50,"68,286",New England Patriots -7.0,47.0 (under),,,
2021,11,Indianapolis Colts,Buffalo Bills,2021-11-21,1:00PM,Buffalo,/boxscores/202111210buf.htm,Bills (deferred),,outdoors,a_turf,2:58,"69,866",Buffalo Bills -7.0,49.5 (over),49 degrees, relative humidity 48%, wind 12 mph
2021,11,Baltimore Ravens,Chicago Bears,2021-11-21,1:00PM,Chicago,/boxscores/202111210chi.htm,Bears (deferred),,outdoors,grass ,3:11,"60,679",Baltimore Ravens -5.0,43.5 (under),46 degrees, relative humidity 71%, wind 9 mph
2021,11,Houston Texans,Tennessee Titans,2021-11-21,1:00PM,Tennessee,/boxscores/202111210oti.htm,Texans (deferred),,outdoors,grass ,3:06,"67,395",Tennessee Titans -10.0,44.5 (under),59 degrees, relative humidity 67%, wind 8 mph
2021,11,San Francisco 49ers,Jacksonville Jaguars,2021-11-21,1:00PM,Jacksonville,/boxscores/202111210jax.htm,Jaguars (deferred),,outdoors,grass ,2:45,"60,268",San Francisco 49ers -6.5,45.0 (under),68 degrees, relative humidity 84%, wind 17 mph
2021,11,Philadelphia Eagles,New Orleans Saints,2021-11-21,1:00PM,Philadelphia,/boxscores/202111210phi.htm,Eagles (deferred),,outdoors,grass ,3:14,"69,796",Philadelphia Eagles -2.5,42.5 (over),51 degrees, relative humidity 63%, wind 4 mph
2021,11,Washington Football Team,Carolina Panthers,2021-11-21,1:00PM,Carolina,/boxscores/202111210car.htm,Football Team (deferred),,outdoors,grass ,3:06,"73,350",Carolina Panthers -3.5,43.0 (over),54 degrees, relative humidity 50%, no wind
2021,11,Cleveland Browns,Detroit Lions,2021-11-21,1:00PM,Cleveland,/boxscores/202111210cle.htm,Lions (deferred),,outdoors,grass ,3:02,"67,431",Cleveland Browns -12.5,42.5 (under),42 degrees, relative humidity 84%, wind 7 mph
2021,11,Minnesota Vikings,Green Bay Packers,2021-11-21,1:00PM,Minnesota,/boxscores/202111210min.htm,Vikings (deferred),,dome,sportturf,2:58,"66,959",Green Bay Packers -1.0,47.0 (over),,,
2021,11,Miami Dolphins,New York Jets,2021-11-21,1:00PM,New York,/boxscores/202111210nyj.htm,Jets (deferred),,outdoors,fieldturf ,3:05,"72,303",Miami Dolphins -3.5,44.5 (under),52 degrees, relative humidity 44%, wind 4 mph
2021,11,Cincinnati Bengals,Las Vegas Raiders,2021-11-21,4:05PM,Las Vegas,/boxscores/202111210rai.htm,Raiders (deferred),,dome,grass,2:51,"61,712",Cincinnati Bengals -1.0,50.5 (under),,,
2021,11,Kansas City Chiefs,Dallas Cowboys,2021-11-21,4:25PM,Kansas City,/boxscores/202111210kan.htm,Cowboys,,outdoors,grass ,3:01,"73,494",Kansas City Chiefs -2.5,56.5 (under),57 degrees, relative humidity 31%, wind 17 mph
2021,11,Arizona Cardinals,Seattle Seahawks,2021-11-21,4:25PM,Seattle,/boxscores/202111210sea.htm,Cardinals (deferred),,outdoors,fieldturf ,3:05,"68,833",Seattle Seahawks -2.5,47.0 (under),46 degrees, relative humidity 76%, no wind
2021,11,Los Angeles Chargers,Pittsburgh Steelers,2021-11-21,8:20PM,Los Angeles,/boxscores/202111210sdg.htm,Chargers (deferred),,dome,matrixturf,3:17,"70,240",Los Angeles Chargers -5.5,47.5 (over),,,
2021,11,Tampa Bay Buccaneers,New York Giants,2021-11-22,8:15PM,Tampa Bay,/boxscores/202111220tam.htm,Giants (deferred),,outdoors,grass ,2:53,"65,643",Tampa Bay Buccaneers -11.0,50.0 (under),68 degrees, relative humidity 61%, wind 6 mph
