player,pos,salary
Jahmyr Gibbs,RB,8600.0
Jameson Williams,WR,5800.0
Josh Jacobs,RB,6800.0
Aaron Jones Sr.,RB,5300.0
Adonai Mitchell,WR,4600.0
AJ Barner,TE,3200.0
Josh Allen,QB,7700.0
CeeDee Lamb,WR,7500.0
