player,pos,salary
Javonte Williams,RB,6500.0
DeVonta Smith,WR,5600.0
Jahmyr Gibbs,RB,8300.0
Christian McCaffrey,RB,9500.0
John Metchie,WR,3300.0
New Orleans Saints,D,2500.0
George Kittle,TE,5200.0
Baker Mayfield,QB,6100.0
Roman Wilson,WR,3000.0
