player,pos,salary
Javonte Williams,RB,6300.0
De'Von Achane,RB,8300.0
Ashton Jeanty,RB,6400.0
Xavier Worthy,WR,4500.0
Jayden Higgins,WR,3900.0
New York Jets,D,2400.0
David Njoku,TE,2900.0
Josh Allen,QB,7500.0
Amon-Ra St. Brown,WR,7800.0
