player,pos,salary
Kenneth Gainwell,RB,4100.0
Bijan Robinson,RB,8300.0
De'Von Achane,RB,8100.0
Tyler Lockett,WR,3400.0
Khalil Shakir,WR,5300.0
Cleveland Browns,D,2400.0
T.J. Hockenson,TE,3000.0
Josh Allen,QB,7000.0
CeeDee Lamb,WR,8000.0
