year,week,team_1,team_2,date,time,location,boxscore_url,won_toss,won_OT_toss,roof,surface,duration,attendance,vegas_line,over_under,temp,humidity,wind
2021,6,Tampa Bay Buccaneers,Philadelphia Eagles,2021-10-14,8:20PM,Philadelphia,/boxscores/202110140phi.htm,Eagles,,outdoors,grass ,3:00,"69,796",Tampa Bay Buccaneers -7.0,52.5 (under),74 degrees, relative humidity 56%, wind 8 mph
2021,6,Jacksonville Jaguars,Miami Dolphins,2021-10-17,9:30AM,Jacksonville,/boxscores/202110170jax.htm,Jaguars (deferred),,outdoors,grass,3:12,"60,784",Miami Dolphins -3.0,47.0 (under),63 degrees, relative humidity 72%, wind 11 mph
2021,6,Minnesota Vikings,Carolina Panthers,2021-10-17,1:00PM,Carolina,/boxscores/202110170car.htm,Vikings (deferred),Vikings,outdoors,grass ,3:41,"72,104",Minnesota Vikings -2.5,45.5 (over),62 degrees, relative humidity 39%, wind 7 mph
2021,6,Green Bay Packers,Chicago Bears,2021-10-17,1:00PM,Chicago,/boxscores/202110170chi.htm,Bears (deferred),,outdoors,grass ,3:01,"62,332",Green Bay Packers -6.0,44.0 (under),59 degrees, relative humidity 39%, wind 6 mph
2021,6,Cincinnati Bengals,Detroit Lions,2021-10-17,1:00PM,Detroit,/boxscores/202110170det.htm,Bengals (deferred),,dome,fieldturf ,2:57,"50,831",Cincinnati Bengals -3.5,47.0 (under),,,
2021,6,Indianapolis Colts,Houston Texans,2021-10-17,1:00PM,Indianapolis,/boxscores/202110170clt.htm,Colts (deferred),,retractable roof (open),fieldturf ,2:55,"57,947",Indianapolis Colts -10.0,43.5 (under),,,
2021,6,Kansas City Chiefs,Washington Football Team,2021-10-17,1:00PM,Washington Football,/boxscores/202110170was.htm,Chiefs (deferred),,outdoors,grass ,3:05,"51,322",Kansas City Chiefs -7.0,54.0 (under),62 degrees, relative humidity 39%, wind 13 mph
2021,6,Los Angeles Rams,New York Giants,2021-10-17,1:00PM,New York,/boxscores/202110170nyg.htm,Rams (deferred),,outdoors,fieldturf ,3:02,"73,920",Los Angeles Rams -9.0,48.5 (over),61 degrees, relative humidity 56%, wind 13 mph
2021,6,Baltimore Ravens,Los Angeles Chargers,2021-10-17,1:00PM,Baltimore,/boxscores/202110170rav.htm,Ravens (deferred),,outdoors,grass,2:54,"70,704",Baltimore Ravens -2.5,51.5 (under),63 degrees, relative humidity 46%, wind 15 mph
2021,6,Arizona Cardinals,Cleveland Browns,2021-10-17,4:05PM,Cleveland,/boxscores/202110170cle.htm,Cardinals (deferred),,outdoors,grass ,2:57,"67,431",Cleveland Browns -3.5,48.5 (over),58 degrees, relative humidity 55%, wind 23 mph
2021,6,Dallas Cowboys,New England Patriots,2021-10-17,4:25PM,New England,/boxscores/202110170nwe.htm,Patriots (deferred),Patriots,outdoors,fieldturf,3:25,"65,878",Dallas Cowboys -3.5,50.5 (over),62 degrees, relative humidity 46%, wind 11 mph
2021,6,Las Vegas Raiders,Denver Broncos,2021-10-17,4:25PM,Denver,/boxscores/202110170den.htm,Broncos (deferred),,outdoors,grass ,3:10,"76,854",Denver Broncos -4.0,43.5 (over),76 degrees, relative humidity 10%, wind 8 mph
2021,6,Pittsburgh Steelers,Seattle Seahawks,2021-10-17,8:20PM,Pittsburgh,/boxscores/202110170pit.htm,Steelers,Seahawks,outdoors,grass ,3:40,"60,821",Pittsburgh Steelers -5.0,43.0 (push),49 degrees, relative humidity 77%, wind 6 mph
2021,6,Tennessee Titans,Buffalo Bills,2021-10-18,8:15PM,Tennessee,/boxscores/202110180oti.htm,Bills (deferred),,outdoors,grass ,3:08,"69,419",Buffalo Bills -6.0,53.5 (over),66 degrees, relative humidity 40%, wind 6 mph
