year,week,team_1,team_2,date,time,location,boxscore_url,won_toss,won_OT_toss,roof,surface,duration,attendance,vegas_line,over_under,temp,humidity,wind
2011,5,Cincinnati Bengals,Jacksonville Jaguars,2011-10-09,1:02PM,Jacksonville,/boxscores/201110090jax.htm,Bengals (deferred),,outdoors,grass ,3:00,"61,799",Cincinnati Bengals -2.5,37.0 (over),79 degrees, relative humidity 68%," wind 15 mph, wind chill 0"
2011,5,Kansas City Chiefs,Indianapolis Colts,2011-10-09,1:02PM,Indianapolis,/boxscores/201110090clt.htm,Chiefs (deferred),,retractable roof (open),fieldturf ,3:12,"65,088",Indianapolis Colts -1.5,38.0 (over),,,
2011,5,Oakland Raiders,Houston Texans,2011-10-09,1:02PM,Houston,/boxscores/201110090htx.htm,Raiders,,retractable roof (closed),grass ,3:35,"71,420",Houston Texans -4.5,48.5 (under),,,
2011,5,Pittsburgh Steelers,Tennessee Titans,2011-10-09,1:02PM,Pittsburgh,/boxscores/201110090pit.htm,Steelers (deferred),,outdoors,grass ,3:07,"63,875",Pittsburgh Steelers -3.0,40.0 (over),70 degrees, relative humidity 53%, wind 3 mph
2011,5,Buffalo Bills,Philadelphia Eagles,2011-10-09,1:04PM,Buffalo,/boxscores/201110090buf.htm,Eagles,,outdoors,a_turf,3:10,"69,803",Philadelphia Eagles -3.0,53.0 (over),74 degrees, relative humidity 47%," wind 6 mph, wind chill 0"
2011,5,New Orleans Saints,Carolina Panthers,2011-10-09,1:04PM,Carolina,/boxscores/201110090car.htm,Panthers,,outdoors,grass ,3:12,"72,679",New Orleans Saints -6.5,51.5 (over),68 degrees, relative humidity 50%," wind 12 mph, wind chill 0"
2011,5,Seattle Seahawks,New York Giants,2011-10-09,1:04PM,New York,/boxscores/201110090nyg.htm,Seahawks,,outdoors,fieldturf,3:20,"78,650",New York Giants -10.0,43.5 (over),81 degrees, relative humidity 42%," wind 4 mph, wind chill 0"
2011,5,Minnesota Vikings,Arizona Cardinals,2011-10-09,1:05PM,Minnesota,/boxscores/201110090min.htm,Cardinals,,dome,sportturf,3:05,"62,479",Minnesota Vikings -3.5,45.0 (under),,,
2011,5,San Francisco 49ers,Tampa Bay Buccaneers,2011-10-09,4:05PM,San Francisco,/boxscores/201110090sfo.htm,49ers (deferred),,outdoors,grass ,3:02,"69,732",San Francisco 49ers -3.0,41.5 (over),62 degrees, relative humidity 75%," wind 6 mph, wind chill 0"
2011,5,New England Patriots,New York Jets,2011-10-09,4:15PM,New England,/boxscores/201110090nwe.htm,Patriots (deferred),,outdoors,fieldturf ,3:05,"68,756",New England Patriots -7.5,50.0 (over),82 degrees, relative humidity 40%," wind 9 mph, wind chill 0"
2011,5,San Diego Chargers,Denver Broncos,2011-10-09,4:16PM,Denver,/boxscores/201110090den.htm,Broncos,,outdoors,grass ,3:14,"74,895",San Diego Chargers -3.5,46.5 (over),52 degrees, relative humidity 45%," wind 6 mph, wind chill 0"
2011,5,Green Bay Packers,Atlanta Falcons,2011-10-09,8:30PM,Atlanta,/boxscores/201110090atl.htm,Falcons,,dome,fieldturf ,3:05,"69,576",Green Bay Packers -6.5,53.0 (under),,,
2011,5,Detroit Lions,Chicago Bears,2011-10-10,8:40PM,Detroit,/boxscores/201110100det.htm,Lions,,dome,fieldturf ,3:08,"67,861",Detroit Lions -7.0,47.0 (under),,,
