year,week,team_1,team_2,date,time,location,boxscore_url,won_toss,won_OT_toss,roof,surface,duration,attendance,vegas_line,over_under,temp,humidity,wind
2020,8,Atlanta Falcons,Carolina Panthers,2020-10-29,8:20PM,Carolina,/boxscores/202010290car.htm,Panthers (deferred),,outdoors,grass,3:04,"5,240",Carolina Panthers -1.5,52.0 (under),76 degrees, relative humidity 76%, wind 8 mph
2020,8,Indianapolis Colts,Detroit Lions,2020-11-01,1:00PM,Detroit,/boxscores/202011010det.htm,Lions (deferred),,dome,fieldturf,3:01,,Indianapolis Colts -3.5,49.0 (over),,,
2020,8,Minnesota Vikings,Green Bay Packers,2020-11-01,1:00PM,Green Bay,/boxscores/202011010gnb.htm,Vikings (deferred),,outdoors,grass,3:11,,Green Bay Packers -5.5,47.0 (over),34 degrees, relative humidity 50%, wind 23 mph
2020,8,Miami Dolphins,Los Angeles Rams,2020-11-01,1:00PM,Miami,/boxscores/202011010mia.htm,Dolphins (deferred),,outdoors,grass,3:22,"12,397",Los Angeles Rams -3.5,46.5 (under),86 degrees, relative humidity 73%, wind 10 mph
2020,8,Pittsburgh Steelers,Baltimore Ravens,2020-11-01,1:00PM,Baltimore,/boxscores/202011010rav.htm,Steelers (deferred),,outdoors,grass,3:19,"4,345",Baltimore Ravens -4.0,44.0 (over),52 degrees, relative humidity 97%, wind 7 mph
2020,8,Buffalo Bills,New England Patriots,2020-11-01,1:00PM,Buffalo,/boxscores/202011010buf.htm,Bills (deferred),,outdoors,astroturf,2:50,,Buffalo Bills -4.0,41.0 (over),41 degrees, relative humidity 87%, wind 17 mph
2020,8,Cincinnati Bengals,Tennessee Titans,2020-11-01,1:00PM,Cincinnati,/boxscores/202011010cin.htm,Titans (deferred),,outdoors,grass,3:09,"9,712",Tennessee Titans -7.5,49.5 (over),48 degrees, relative humidity 52%, wind 24 mph
2020,8,Las Vegas Raiders,Cleveland Browns,2020-11-01,1:00PM,Cleveland,/boxscores/202011010cle.htm,Browns (deferred),,outdoors,grass,2:51,"10,972",Cleveland Browns -1.0,48.0 (under),49 degrees, relative humidity 56%, wind 35 mph
2020,8,Kansas City Chiefs,New York Jets,2020-11-01,1:00PM,Kansas City,/boxscores/202011010kan.htm,Jets (deferred),,outdoors,grass,2:56,"11,932",Kansas City Chiefs -20.0,49.0 (under),52 degrees, relative humidity 0%, wind 11 mph
2020,8,Denver Broncos,Los Angeles Chargers,2020-11-01,4:05PM,Denver,/boxscores/202011010den.htm,Chargers (deferred),,outdoors,grass,3:27,"5,231",Los Angeles Chargers -3.0,44.5 (over),64 degrees, relative humidity 23%, wind 10 mph
2020,8,Seattle Seahawks,San Francisco 49ers,2020-11-01,4:25PM,Seattle,/boxscores/202011010sea.htm,49ers (deferred),,outdoors,fieldturf,3:07,,Seattle Seahawks -1.0,54.5 (over),55 degrees, relative humidity 58%, wind 4 mph
2020,8,New Orleans Saints,Chicago Bears,2020-11-01,4:25PM,Chicago,/boxscores/202011010chi.htm,Bears (deferred),Saints,outdoors,grass,3:34,,New Orleans Saints -5.5,41.0 (over),40 degrees, relative humidity 41%, wind 20 mph
2020,8,Philadelphia Eagles,Dallas Cowboys,2020-11-01,8:20PM,Philadelphia,/boxscores/202011010phi.htm,Eagles (deferred),,outdoors,grass,3:08,,Philadelphia Eagles -10.5,43.0 (under),49 degrees, relative humidity 66%, wind 17 mph
2020,8,Tampa Bay Buccaneers,New York Giants,2020-11-02,8:15PM,New York,/boxscores/202011020nyg.htm,Giants (deferred),,outdoors,fieldturf ,3:08,,Tampa Bay Buccaneers -13.0,47.0 (over),39 degrees, relative humidity 46%, wind 8 mph
