name,team,year,week,position,xpa,xpm,fga,fgm,fg_distances,fpoints
Wil Lutz,DEN,2024,16,K,3,3,2,2,"['41', '55']",12.6
Cameron Dicker,LAC,2024,16,K,2,2,2,2,"['37', '57']",11.4
Ka'imi Fairbairn,HOU,2024,16,K,2,1,2,2,"['33', '38']",7.1
Harrison Butker,KAN,2024,16,K,3,3,2,2,"['44', '27']",10.4
Chris Boswell,PIT,2024,16,K,2,2,1,1,['51'],7.1
Justin Tucker,BAL,2024,16,K,4,4,2,2,"['51', '23']",12.1
Graham Gano,NYG,2024,16,K,1,1,0,0,0,1.0
Riley Patterson,ATL,2024,16,K,4,4,3,2,"['52', '37']",11.899999999999999
Chad Ryland,ARI,2024,16,K,3,3,3,3,"['48', '30', '58']",16.6
Eddy Piñeiro,CAR,2024,16,K,4,3,1,1,['29'],5.0
Jake Bates,DET,2024,16,K,4,4,3,2,"['30', '34']",9.4
Cairo Santos,CHI,2024,16,K,2,2,1,1,['30'],5.0
Dustin Hopkins,CLE,2024,16,K,1,0,0,0,0,-1.0
Cade York,CIN,2024,16,K,3,3,2,1,['59'],7.9
Brayden Narveson,TEN,2024,16,K,2,2,1,0,0,1.0
Matt Gay,IND,2024,16,K,5,5,2,1,['31'],7.1
Joshua Karty,LAR,2024,16,K,2,1,2,2,"['38', '45']",8.3
Anders Carlson,NYJ,2024,16,K,1,0,2,1,['21'],1.0
Jake Elliott,PHI,2024,16,K,3,3,5,4,"['24', '40', '50', '40']",18.0
Zane Gonzalez,WAS,2024,16,K,4,4,0,0,0,4.0
Will Reichard,MIN,2024,16,K,3,3,2,2,"['52', '48']",13.0
Jason Myers,SEA,2024,16,K,3,3,2,1,['43'],6.3
Joey Slye,NWE,2024,16,K,3,3,0,0,0,3.0
Tyler Bass,BUF,2024,16,K,3,3,1,1,['50'],8.0
Cam Little,JAX,2024,16,K,2,2,0,0,0,2.0
Daniel Carlson,LVR,2024,16,K,1,1,3,2,"['49', '37']",8.600000000000001
Jake Moody,SFO,2024,16,K,2,2,2,1,['21'],4.0
Jason Sanders,MIA,2024,16,K,2,2,5,5,"['44', '38', '54', '33', '48']",23.7
Chase McLaughlin,TAM,2024,16,K,3,3,1,1,['45'],7.5
Brandon Aubrey,DAL,2024,16,K,2,2,4,4,"['58', '49', '58', '53']",23.8
Brandon McManus,GNB,2024,16,K,4,4,2,2,"['55', '46']",14.1
