year,week,team_1,team_2,date,time,location,boxscore_url,won_toss,won_OT_toss,roof,surface,duration,attendance,vegas_line,over_under,temp,humidity,wind
2016,1,Denver Broncos,Carolina Panthers,2016-09-08,8:40PM,Denver,/boxscores/201609080den.htm,Panthers (deferred),,outdoors,grass ,3:12,"76,843",Carolina Panthers -3.0,40.5 (over),85 degrees, relative humidity 12%," wind 10 mph, wind chill 0"
2016,1,Baltimore Ravens,Buffalo Bills,2016-09-11,1:04PM,Baltimore,/boxscores/201609110rav.htm,Bills (deferred),,outdoors,grass,2:54,"71,104",Baltimore Ravens -3.0,44.5 (under),84 degrees, relative humidity 44%," wind 8 mph, wind chill 0"
2016,1,Green Bay Packers,Jacksonville Jaguars,2016-09-11,1:04PM,Jacksonville,/boxscores/201609110jax.htm,Packers (deferred),,outdoors,grass ,3:10,"63,179",Green Bay Packers -3.5,47.0 (over),90 degrees, relative humidity 55%," wind 3 mph, wind chill 0"
2016,1,Tampa Bay Buccaneers,Atlanta Falcons,2016-09-11,1:05PM,Atlanta,/boxscores/201609110atl.htm,Buccaneers (deferred),,dome,fieldturf ,3:02,"69,382",Atlanta Falcons -2.5,46.5 (over),,,
2016,1,Houston Texans,Chicago Bears,2016-09-11,1:05PM,Houston,/boxscores/201609110htx.htm,Bears (deferred),,retractable roof (closed),fieldturf,2:58,"71,933",Houston Texans -5.5,43.0 (under),,,
2016,1,Cincinnati Bengals,New York Jets,2016-09-11,1:05PM,New York,/boxscores/201609110nyj.htm,Jets (deferred),,outdoors,fieldturf ,3:01,"78,160",New York Jets -1.0,42.0 (over),79 degrees, relative humidity 40%," wind 17 mph, wind chill 0"
2016,1,Philadelphia Eagles,Cleveland Browns,2016-09-11,1:05PM,Philadelphia,/boxscores/201609110phi.htm,Browns (deferred),,outdoors,grass ,2:59,"69,596",Philadelphia Eagles -4.0,41.5 (under),85 degrees, relative humidity 42%," wind 14 mph, wind chill 0"
2016,1,Kansas City Chiefs,San Diego Chargers,2016-09-11,1:05PM,Kansas City,/boxscores/201609110kan.htm,Chargers (deferred),Chiefs,outdoors,grass ,3:34,"73,238",Kansas City Chiefs -6.5,45.5 (over),74 degrees, relative humidity 51%," wind 9 mph, wind chill 0"
2016,1,Minnesota Vikings,Tennessee Titans,2016-09-11,1:05PM,Tennessee,/boxscores/201609110oti.htm,Titans,,outdoors,grass ,2:57,"63,816",Minnesota Vikings -2.5,40.0 (over),76 degrees, relative humidity 47%, wind 5 mph
2016,1,Oakland Raiders,New Orleans Saints,2016-09-11,1:05PM,New Orleans,/boxscores/201609110nor.htm,Raiders (deferred),,dome,sportturf,4:23,"73,028",New Orleans Saints -2.5,50.0 (over),,,
2016,1,Seattle Seahawks,Miami Dolphins,2016-09-11,4:08PM,Seattle,/boxscores/201609110sea.htm,Dolphins (deferred),,outdoors,fieldturf ,3:05,"69,012",Seattle Seahawks -10.5,43.5 (under),61 degrees, relative humidity 68%," wind 2 mph, wind chill 0"
2016,1,Detroit Lions,Indianapolis Colts,2016-09-11,4:27PM,Indianapolis,/boxscores/201609110clt.htm,Lions (deferred),,retractable roof (open),fieldturf ,3:25,"65,566",Indianapolis Colts -2.5,51.0 (over),,,
2016,1,New York Giants,Dallas Cowboys,2016-09-11,4:27PM,Dallas,/boxscores/201609110dal.htm,Cowboys,,retractable roof (closed),matrixturf,2:59,"92,867",Dallas Cowboys -1.0,47.5 (under),,,
2016,1,New England Patriots,Arizona Cardinals,2016-09-11,8:30PM,Arizona,/boxscores/201609110crd.htm,Cardinals,,retractable roof (closed),grass ,3:03,"64,864",Arizona Cardinals -9.0,44.5 (under),,,
2016,1,Pittsburgh Steelers,Washington Redskins,2016-09-12,7:11PM,Washington,/boxscores/201609120was.htm,Steelers (deferred),,outdoors,grass ,2:56,"79,124",Pittsburgh Steelers -2.5,49.0 (over),79 degrees, relative humidity 41%," wind 4 mph, wind chill 0"
2016,1,San Francisco 49ers,Los Angeles Rams,2016-09-12,10:20PM,San Francisco,/boxscores/201609120sfo.htm,Rams,,outdoors,grass,3:05,"70,178",Los Angeles Rams -2.5,43.0 (under),66 degrees, relative humidity 56%," wind 17 mph, wind chill 0"
