year,week,team_1,team_2,date,time,location,boxscore_url,won_toss,won_OT_toss,roof,surface,duration,attendance,vegas_line,over_under,temp,humidity,wind
2013,12,New Orleans Saints,Atlanta Falcons,2013-11-21,8:30PM,Atlanta,/boxscores/201311210atl.htm,Saints,,dome,fieldturf ,2:54,"70,422",New Orleans Saints -7.0,52.5 (under),,,
2013,12,St. Louis Rams,Chicago Bears,2013-11-24,1:00PM,St. Louis,/boxscores/201311240ram.htm,Bears (deferred),,dome,astroplay,3:32,"66,024",St. Louis Rams -1.5,46.0 (over),,,
2013,12,Minnesota Vikings,Green Bay Packers,2013-11-24,1:02PM,Green Bay,/boxscores/201311240gnb.htm,Packers,Packers,outdoors,grass ,3:54,"77,871",Green Bay Packers -5.5,44.5 (over),19 degrees, relative humidity 52%," wind 10 mph, wind chill 7"
2013,12,Jacksonville Jaguars,Houston Texans,2013-11-24,1:02PM,Houston,/boxscores/201311240htx.htm,Jaguars,,retractable roof (closed),grass ,2:51,"71,659",Jacksonville Jaguars -2.0,44.0 (under),,,
2013,12,Baltimore Ravens,New York Jets,2013-11-24,1:02PM,Baltimore,/boxscores/201311240rav.htm,Ravens (deferred),,outdoors,sportturf,2:54,"71,148",Baltimore Ravens -3.5,38.0 (under),33 degrees, relative humidity 23%," wind 26 mph, wind chill 20"
2013,12,Carolina Panthers,Miami Dolphins,2013-11-24,1:03PM,Miami,/boxscores/201311240mia.htm,Panthers (deferred),,outdoors,grass ,3:19,"60,156",Carolina Panthers -4.0,40.0 (under),82 degrees, relative humidity 55%," wind 13 mph, wind chill 0"
2013,12,Pittsburgh Steelers,Cleveland Browns,2013-11-24,1:03PM,Cleveland,/boxscores/201311240cle.htm,Browns (deferred),,outdoors,grass ,3:08,"71,513",Cleveland Browns -2.0,40.0 (under),20 degrees, relative humidity 84%," wind 31 mph, wind chill 1"
2013,12,Tampa Bay Buccaneers,Detroit Lions,2013-11-24,1:03PM,Detroit,/boxscores/201311240det.htm,Buccaneers (deferred),,dome,fieldturf ,3:06,"62,098",Detroit Lions -7.0,48.5 (under),,,
2013,12,San Diego Chargers,Kansas City Chiefs,2013-11-24,1:03PM,Kansas City,/boxscores/201311240kan.htm,Chargers (deferred),,outdoors,grass ,3:32,"75,259",Kansas City Chiefs -3.0,43.0 (over),24 degrees, relative humidity 50%," wind 3 mph, wind chill 15"
2013,12,Arizona Cardinals,Indianapolis Colts,2013-11-24,4:05PM,Arizona,/boxscores/201311240crd.htm,Colts (deferred),,retractable roof (closed),grass ,3:01,"60,882",Arizona Cardinals -3.0,44.5 (over),,,
2013,12,Tennessee Titans,Oakland Raiders,2013-11-24,4:05PM,Oakland,/boxscores/201311240rai.htm,Titans (deferred),,outdoors,grass ,3:10,"46,001",Tennessee Titans -2.0,42.0 (push),58 degrees, relative humidity 56%," wind 5 mph, wind chill 0"
2013,12,Dallas Cowboys,New York Giants,2013-11-24,4:25PM,New York,/boxscores/201311240nyg.htm,Giants (deferred),,outdoors,fieldturf,3:15,"80,499",New York Giants -2.5,44.5 (over),25 degrees, relative humidity 40%," wind 6 mph, wind chill 18"
2013,12,New England Patriots,Denver Broncos,2013-11-24,8:30PM,New England,/boxscores/201311240nwe.htm,Patriots (deferred),Patriots,outdoors,fieldturf ,3:53,"68,756",Denver Broncos -2.5,54.0 (over),22 degrees, relative humidity 29%," wind 22 mph, wind chill 6"
2013,12,San Francisco 49ers,Washington Redskins,2013-11-25,8:40PM,Washington,/boxscores/201311250was.htm,Redskins,,outdoors,grass ,2:51,"79,773",San Francisco 49ers -5.0,45.5 (under),35 degrees, relative humidity 37%," wind 12 mph, wind chill 27"
