year,week,team_1,team_2,date,time,location,boxscore_url,won_toss,won_OT_toss,roof,surface,duration,attendance,vegas_line,over_under,temp,humidity,wind
2011,8,St. Louis Rams,New Orleans Saints,2011-10-30,1:00PM,St. Louis,/boxscores/201110300ram.htm,Rams,,dome,astroplay,3:15,"57,179",New Orleans Saints -14.0,48.5 (over),,,
2011,8,Baltimore Ravens,Arizona Cardinals,2011-10-30,1:02PM,Baltimore,/boxscores/201110300rav.htm,Ravens (deferred),,outdoors,sportturf,3:17,"71,022",Baltimore Ravens -11.5,43.0 (over),48 degrees, relative humidity 49%," wind 9 mph, wind chill 0"
2011,8,New York Giants,Miami Dolphins,2011-10-30,1:02PM,New York,/boxscores/201110300nyg.htm,Dolphins (deferred),,outdoors,fieldturf,2:53,"79,302",New York Giants -10.0,43.5 (under),41 degrees, relative humidity 55%, wind 12 mph
2011,8,Tennessee Titans,Indianapolis Colts,2011-10-30,1:02PM,Tennessee,/boxscores/201110300oti.htm,Colts,,outdoors,grass ,3:07,"69,143",Tennessee Titans -7.5,43.5 (under),62 degrees, relative humidity 35%, no wind
2011,8,Houston Texans,Jacksonville Jaguars,2011-10-30,1:02PM,Houston,/boxscores/201110300htx.htm,Jaguars (deferred),,retractable roof (open),grass ,3:13,"71,412",Houston Texans -10.0,41.0 (under),,,
2011,8,Minnesota Vikings,Carolina Panthers,2011-10-30,1:03PM,Carolina,/boxscores/201110300car.htm,Vikings,,outdoors,grass ,3:04,"72,095",Carolina Panthers -3.0,47.0 (under),54 degrees, relative humidity 52%," wind 6 mph, wind chill 0"
2011,8,Buffalo Bills,Washington Redskins,2011-10-30,4:05PM,Buffalo,/boxscores/201110300buf.htm,Redskins,,dome,a_turf,2:42,"51,579",Buffalo Bills -4.0,46.5 (under),,,
2011,8,Detroit Lions,Denver Broncos,2011-10-30,4:10PM,Denver,/boxscores/201110300den.htm,Lions (deferred),,outdoors,grass ,3:13,"74,977",Detroit Lions -3.5,43.5 (over),56 degrees, relative humidity 31%," wind 5 mph, wind chill 0"
2011,8,San Francisco 49ers,Cleveland Browns,2011-10-30,4:15PM,San Francisco,/boxscores/201110300sfo.htm,49ers (deferred),,outdoors,grass ,3:06,"69,732",San Francisco 49ers -9.5,38.5 (under),67 degrees, relative humidity 68%," wind 5 mph, wind chill 0"
2011,8,Pittsburgh Steelers,New England Patriots,2011-10-30,4:15PM,Pittsburgh,/boxscores/201110300pit.htm,Patriots (deferred),,outdoors,grass ,3:10,"64,424",New England Patriots -3.0,52.0 (under),40 degrees, relative humidity 79%, wind 3 mph
2011,8,Cincinnati Bengals,Seattle Seahawks,2011-10-30,4:16PM,Seattle,/boxscores/201110300sea.htm,Seahawks (deferred),,outdoors,fieldturf ,3:14,"66,004",Cincinnati Bengals -1.5,37.5 (over),56 degrees, relative humidity 0%," wind 14 mph, wind chill 0"
2011,8,Philadelphia Eagles,Dallas Cowboys,2011-10-30,8:28PM,Philadelphia,/boxscores/201110300phi.htm,Eagles,,outdoors,grass ,3:01,"69,144",Philadelphia Eagles -3.0,49.5 (under),42 degrees, relative humidity 64%, wind 5 mph
2011,8,Kansas City Chiefs,San Diego Chargers,2011-10-31,8:40PM,Kansas City,/boxscores/201110310kan.htm,Chargers,Chargers,outdoors,grass ,3:40,"72,733",San Diego Chargers -3.0,44.5 (under),63 degrees, relative humidity 31%," no wind, wind chill 0"
