name,team,year,week,position,xpa,xpm,fga,fgm,fg_distances,fpoints
Justin Tucker,BAL,2024,1,K,2,2,3,2,"['25', '32']",7.199999999999999
Harrison Butker,KAN,2024,1,K,3,3,2,2,"['32', '31']",9.3
Brayden Narveson,GNB,2024,1,K,2,2,4,3,"['31', '23', '26']",10.1
Jake Elliott,PHI,2024,1,K,4,4,2,2,"['38', '21']",10.8
Chris Boswell,PIT,2024,1,K,0,0,6,6,"['57', '51', '44', '56', '40', '25']",27.8
Younghoe Koo,ATL,2024,1,K,1,1,1,1,['24'],4.0
Matt Prater,ARI,2024,1,K,2,2,2,2,"['29', '31']",8.1
Tyler Bass,BUF,2024,1,K,4,4,2,2,"['37', '39']",11.6
Eddy Pineiro,CAR,2024,1,K,1,1,1,1,['43'],5.3
Blake Grupe,NOR,2024,1,K,5,5,4,4,"['57', '44', '52', '39']",24.2
Nick Folk,TEN,2024,1,K,2,2,1,1,['40'],6.0
Cairo Santos,CHI,2024,1,K,1,1,3,3,"['24', '50', '48']",13.8
Joey Slye,NWE,2024,1,K,1,1,3,3,"['32', '35', '37']",11.4
Evan McPherson,CIN,2024,1,K,1,1,1,1,['51'],6.1
Ka'imi Fairbairn,HOU,2024,1,K,2,2,3,3,"['51', '50', '51']",17.2
Spencer Shrader,IND,2024,1,K,3,3,0,0,0,3.0
Cam Little,JAX,2024,1,K,2,2,1,1,['53'],7.3
Jason Sanders,MIA,2024,1,K,2,2,3,2,"['37', '52']",9.9
Will Reichard,MIN,2024,1,K,4,4,0,0,0,4.0
Graham Gano,NYG,2024,1,K,0,0,2,2,"['23', '50']",8.0
Wil Lutz,DEN,2024,1,K,1,1,3,3,"['35', '30', '45']",12.0
Jason Myers,SEA,2024,1,K,2,2,2,2,"['50', '28']",10.0
Daniel Carlson,LVR,2024,1,K,1,1,2,1,['32'],3.2
Cameron Dicker,LAC,2024,1,K,1,1,3,3,"['53', '25', '24']",12.3
Brandon Aubrey,DAL,2024,1,K,3,3,4,4,"['57', '40', '50', '46']",22.299999999999997
Dustin Hopkins,CLE,2024,1,K,2,2,1,1,['51'],7.1
Cade York,WAS,2024,1,K,2,2,2,0,0,0.0
Chase McLaughlin,TAM,2024,1,K,4,4,3,3,"['56', '34', '29']",16.0
Joshua Karty,LAR,2024,1,K,2,2,2,2,"['41', '26']",9.1
Jake Bates,DET,2024,1,K,2,2,2,2,"['25', '32']",8.2
Greg Zuerlein,NYJ,2024,1,K,1,1,0,0,0,1.0
Jake Moody,SFO,2024,1,K,2,2,6,6,"['46', '51', '31', '53', '23', '42']",27.299999999999997
