year,week,team_1,team_2,date,time,location,boxscore_url,won_toss,won_OT_toss,roof,surface,duration,attendance,vegas_line,over_under,temp,humidity,wind
2011,2,Green Bay Packers,Carolina Panthers,2011-09-18,1:02PM,Carolina,/boxscores/201109180car.htm,Packers (deferred),,outdoors,grass ,3:11,"73,167",Green Bay Packers -11.0,45.0 (over),64 degrees, relative humidity 67%," wind 11 mph, wind chill 0"
2011,2,New Orleans Saints,Chicago Bears,2011-09-18,1:02PM,New Orleans,/boxscores/201109180nor.htm,Bears,,dome,sportturf,3:12,"73,019",New Orleans Saints -5.0,46.5 (under),,,
2011,2,Cleveland Browns,Indianapolis Colts,2011-09-18,1:02PM,Indianapolis,/boxscores/201109180clt.htm,Colts,,retractable roof (closed),fieldturf ,3:10,"65,035",Cleveland Browns -1.5,39.0 (over),,,
2011,2,Detroit Lions,Kansas City Chiefs,2011-09-18,1:02PM,Detroit,/boxscores/201109180det.htm,Chiefs (deferred),,dome,fieldturf ,3:01,"60,040",Detroit Lions -9.0,45.0 (over),,,
2011,2,New York Jets,Jacksonville Jaguars,2011-09-18,1:02PM,New York,/boxscores/201109180nyj.htm,Jets,,outdoors,fieldturf,2:56,"78,834",New York Jets -9.0,38.5 (under),66 degrees, relative humidity 71%," wind 12 mph, wind chill 0"
2011,2,Tennessee Titans,Baltimore Ravens,2011-09-18,1:02PM,Tennessee,/boxscores/201109180oti.htm,Titans (deferred),,outdoors,grass ,3:00,"69,143",Baltimore Ravens -6.0,39.0 (push),76 degrees, relative humidity 54%," wind 11 mph, wind chill 0"
2011,2,Pittsburgh Steelers,Seattle Seahawks,2011-09-18,1:02PM,Pittsburgh,/boxscores/201109180pit.htm,Steelers,,outdoors,grass ,2:44,"63,663",Pittsburgh Steelers -14.0,40.0 (under),63 degrees, relative humidity 59%, wind 12 mph
2011,2,Buffalo Bills,Oakland Raiders,2011-09-18,1:03PM,Buffalo,/boxscores/201109180buf.htm,Bills (deferred),,outdoors,a_turf,3:29,"68,191",Buffalo Bills -4.0,41.0 (over),65 degrees, relative humidity 47%," wind 5 mph, wind chill 0"
2011,2,Washington Redskins,Arizona Cardinals,2011-09-18,1:03PM,Washington,/boxscores/201109180was.htm,Redskins,,outdoors,grass ,3:13,"76,330",Washington Redskins -4.5,45.0 (under),66 degrees, relative humidity 71%," wind 7 mph, wind chill 0"
2011,2,Tampa Bay Buccaneers,Minnesota Vikings,2011-09-18,1:05PM,Minnesota,/boxscores/201109180min.htm,Buccaneers,,dome,sportturf,2:50,"62,461",Minnesota Vikings -1.0,41.0 (over),,,
2011,2,Dallas Cowboys,San Francisco 49ers,2011-09-18,4:05PM,San Francisco,/boxscores/201109180sfo.htm,49ers (deferred),49ers,outdoors,grass ,3:26,"69,732",Dallas Cowboys -3.0,41.5 (over),70 degrees, relative humidity 60%," wind 3 mph, wind chill 0"
2011,2,Denver Broncos,Cincinnati Bengals,2011-09-18,4:15PM,Denver,/boxscores/201109180den.htm,Bengals (deferred),,outdoors,grass ,3:05,"73,281",Denver Broncos -3.0,41.0 (over),69 degrees, relative humidity 27%," wind 6 mph, wind chill 0"
2011,2,Houston Texans,Miami Dolphins,2011-09-18,4:15PM,Miami,/boxscores/201109180mia.htm,Dolphins (deferred),,outdoors,grass ,2:54,"51,032",Houston Texans -3.0,47.5 (under),87 degrees, relative humidity 59%," wind 15 mph, wind chill 0"
2011,2,New England Patriots,San Diego Chargers,2011-09-18,4:15PM,New England,/boxscores/201109180nwe.htm,Chargers,,outdoors,fieldturf ,3:04,"68,756",New England Patriots -7.0,53.5 (over),63 degrees, relative humidity 0%," wind 12 mph, wind chill 0"
2011,2,Atlanta Falcons,Philadelphia Eagles,2011-09-18,8:30PM,Atlanta,/boxscores/201109180atl.htm,Eagles,,dome,fieldturf ,3:16,"69,608",Philadelphia Eagles -2.5,49.5 (over),,,
2011,2,New York Giants,St. Louis Rams,2011-09-19,8:40PM,New York,/boxscores/201109190nyg.htm,Giants,,outdoors,fieldturf,3:03,"78,290",New York Giants -7.0,44.0 (push),60 degrees, relative humidity 72%," wind 6 mph, wind chill 0"
