year,week,team_1,team_2,date,time,location,boxscore_url,won_toss,won_OT_toss,roof,surface,duration,attendance,vegas_line,over_under,temp,humidity,wind
2014,1,Seattle Seahawks,Green Bay Packers,2014-09-04,8:42PM,Seattle,/boxscores/201409040sea.htm,Seahawks (deferred),,outdoors,fieldturf ,2:56,"68,424",Seattle Seahawks -8.5,45.0 (over),71 degrees, relative humidity 52%," wind 11 mph, wind chill 0"
2014,1,Buffalo Bills,Chicago Bears,2014-09-07,1:00PM,Chicago,/boxscores/201409070chi.htm,Bears (deferred),Bears,outdoors,grass ,3:17,"62,425",Chicago Bears -7.0,47.0 (under),74 degrees, relative humidity 45%," wind 3 mph, wind chill 0"
2014,1,Minnesota Vikings,St. Louis Rams,2014-09-07,1:00PM,St. Louis,/boxscores/201409070ram.htm,Rams (deferred),,dome,astroplay,3:03,"55,919",St. Louis Rams -3.5,43.5 (under),,,
2014,1,Cincinnati Bengals,Baltimore Ravens,2014-09-07,1:02PM,Baltimore,/boxscores/201409070rav.htm,Ravens (deferred),,outdoors,sportturf,3:14,"70,925",Baltimore Ravens -2.0,43.0 (under),74 degrees, relative humidity 45%," wind 8 mph, wind chill 0"
2014,1,Pittsburgh Steelers,Cleveland Browns,2014-09-07,1:02PM,Pittsburgh,/boxscores/201409070pit.htm,Steelers,,outdoors,grass ,3:07,"64,598",Pittsburgh Steelers -7.0,41.5 (over),71 degrees, relative humidity 55%, wind 6 mph
2014,1,Philadelphia Eagles,Jacksonville Jaguars,2014-09-07,1:02PM,Philadelphia,/boxscores/201409070phi.htm,Eagles (deferred),,outdoors,grass ,3:23,"69,596",Philadelphia Eagles -10.5,52.0 (under),75 degrees, relative humidity 51%," wind 9 mph, wind chill 0"
2014,1,Tennessee Titans,Kansas City Chiefs,2014-09-07,1:02PM,Kansas City,/boxscores/201409070kan.htm,Titans (deferred),,outdoors,grass ,3:22,"73,569",Kansas City Chiefs -3.5,43.0 (under),69 degrees, relative humidity 57%," wind 7 mph, wind chill 0"
2014,1,New York Jets,Oakland Raiders,2014-09-07,1:02PM,New York,/boxscores/201409070nyj.htm,Raiders (deferred),,outdoors,fieldturf,2:58,"78,160",New York Jets -5.5,40.0 (under),76 degrees, relative humidity 47%," wind 12 mph, wind chill 0"
2014,1,Atlanta Falcons,New Orleans Saints,2014-09-07,1:03PM,Atlanta,/boxscores/201409070atl.htm,Saints,Saints,dome,fieldturf ,3:18,"70,706",New Orleans Saints -3.0,51.5 (over),,,
2014,1,Houston Texans,Washington Redskins,2014-09-07,1:03PM,Houston,/boxscores/201409070htx.htm,Redskins (deferred),,retractable roof (closed),grass ,2:56,"71,770",Houston Texans -3.0,45.0 (under),,,
2014,1,Miami Dolphins,New England Patriots,2014-09-07,1:03PM,Miami,/boxscores/201409070mia.htm,Dolphins (deferred),,outdoors,grass ,3:17,"70,630",New England Patriots -5.0,47.0 (over),89 degrees, relative humidity 61%," no wind, wind chill 0"
2014,1,Carolina Panthers,Tampa Bay Buccaneers,2014-09-07,4:25PM,Tampa Bay,/boxscores/201409070tam.htm,Buccaneers (deferred),,outdoors,grass ,2:54,"62,442",Tampa Bay Buccaneers -2.5,39.5 (under),88 degrees, relative humidity 29%, wind 6 mph
2014,1,San Francisco 49ers,Dallas Cowboys,2014-09-07,4:25PM,Dallas,/boxscores/201409070dal.htm,Cowboys,,retractable roof (closed),matrixturf,3:04,"91,174",San Francisco 49ers -4.5,51.0 (under),,,
2014,1,Denver Broncos,Indianapolis Colts,2014-09-07,8:30PM,Denver,/boxscores/201409070den.htm,Broncos (deferred),,outdoors,grass ,3:13,"76,939",Denver Broncos -7.5,55.0 (push),75 degrees, relative humidity 41%," wind 6 mph, wind chill 0"
2014,1,Detroit Lions,New York Giants,2014-09-08,7:11PM,Detroit,/boxscores/201409080det.htm,Lions,,dome,fieldturf ,2:56,"64,401",Detroit Lions -5.5,47.0 (over),,,
2014,1,Arizona Cardinals,San Diego Chargers,2014-09-08,9:20PM,Arizona,/boxscores/201409080crd.htm,Chargers (deferred),,retractable roof (closed),grass ,3:08,"61,292",Arizona Cardinals -3.0,45.0 (under),,,
