name,team,year,week,position,xpa,xpm,fga,fgm,fg_distances,fpoints
Brandon McManus,GNB,2024,14,K,4,4,1,1,['32'],7.2
Jake Bates,DET,2024,14,K,4,4,2,2,"['43', '35']",11.8
Younghoe Koo,ATL,2024,14,K,1,1,2,2,"['20', '29']",7.0
Will Reichard,MIN,2024,14,K,6,6,1,0,0,5.0
Eddy Piñeiro,CAR,2024,14,K,2,1,1,1,['38'],3.8
Jake Elliott,PHI,2024,14,K,2,2,1,0,0,1.0
Dustin Hopkins,CLE,2024,14,K,2,2,2,0,0,0.0
Chris Boswell,PIT,2024,14,K,3,3,2,2,"['30', '54']",11.4
Cam Little,JAX,2024,14,K,1,1,1,1,['23'],4.0
Nick Folk,TEN,2024,14,K,0,0,2,2,"['46', '39']",8.5
Blake Grupe,NOR,2024,14,K,2,2,2,0,0,0.0
Graham Gano,NYG,2024,14,K,0,0,2,1,['43'],3.3
Anders Carlson,NYJ,2024,14,K,2,2,4,4,"['28', '30', '40', '42']",16.2
Jason Sanders,MIA,2024,14,K,1,0,4,4,"['39', '24', '57', '52']",16.8
Daniel Carlson,LVR,2024,14,K,1,1,2,2,"['25', '27']",7.0
Chase McLaughlin,TAM,2024,14,K,4,4,0,0,0,4.0
Jason Myers,SEA,2024,14,K,3,3,3,3,"['20', '36', '35']",13.1
Chad Ryland,ARI,2024,14,K,1,1,2,1,['28'],3.0
Tyler Bass,BUF,2024,14,K,6,6,0,0,0,6.0
Joshua Karty,LAR,2024,14,K,6,5,1,1,['22'],7.0
Cairo Santos,CHI,2024,14,K,1,1,0,0,0,1.0
Jake Moody,SFO,2024,14,K,5,5,1,1,['23'],8.0
Cameron Dicker,LAC,2024,14,K,2,2,1,1,['37'],5.7
Matthew Wright,KAN,2024,14,K,1,1,4,4,"['47', '33', '50', '31']",17.1
Cade York,CIN,2024,14,K,3,3,2,2,"['37', '29']",9.7
Brandon Aubrey,DAL,2024,14,K,2,2,2,2,"['35', '47']",10.2
