year,week,team_1,team_2,date,time,location,boxscore_url,won_toss,won_OT_toss,roof,surface,duration,attendance,vegas_line,over_under,temp,humidity,wind
2022,10,Carolina Panthers,Atlanta Falcons,2022-11-10,8:15PM,Carolina,/boxscores/202211100car.htm,Falcons,,outdoors,grass ,3:00,"72,029",Atlanta Falcons -2.5,41.5 (under),61 degrees, relative humidity 88%, wind 12 mph
2022,10,Tampa Bay Buccaneers,Seattle Seahawks,2022-11-13,9:30AM,Tampa Bay,/boxscores/202211130tam.htm,Seahawks (deferred),,outdoors,grass,2:48,"69,811",Tampa Bay Buccaneers -2.5,45.0 (under),54 degrees, relative humidity 71%, wind 9 mph
2022,10,Minnesota Vikings,Buffalo Bills,2022-11-13,1:00PM,Buffalo,/boxscores/202211130buf.htm,Vikings (deferred),Vikings,outdoors,a_turf,3:46,"70,844",Buffalo Bills -6.5,44.5 (over),38 degrees, relative humidity 85%, wind 11 mph
2022,10,Miami Dolphins,Cleveland Browns,2022-11-13,1:00PM,Miami,/boxscores/202211130mia.htm,Dolphins (deferred),,outdoors,grass ,2:54,"66,563",Miami Dolphins -3.5,49.5 (over),85 degrees, relative humidity 48%, wind 7 mph
2022,10,Tennessee Titans,Denver Broncos,2022-11-13,1:00PM,Tennessee,/boxscores/202211130oti.htm,Broncos (deferred),,outdoors,grass ,3:20,"69,240",Tennessee Titans -2.5,39.0 (under),36 degrees, relative humidity 48%, wind 9 mph
2022,10,New York Giants,Houston Texans,2022-11-13,1:00PM,New York,/boxscores/202211130nyg.htm,Giants (deferred),,outdoors,fieldturf ,3:12,"71,615",New York Giants -4.5,41.0 (under),50 degrees, relative humidity 58%, wind 15 mph
2022,10,Detroit Lions,Chicago Bears,2022-11-13,1:00PM,Chicago,/boxscores/202211130chi.htm,Lions (deferred),,outdoors,grass ,2:57,"61,817",Chicago Bears -2.5,48.5 (over),34 degrees, relative humidity 45%, wind 13 mph
2022,10,Kansas City Chiefs,Jacksonville Jaguars,2022-11-13,1:00PM,Kansas City,/boxscores/202211130kan.htm,Chiefs,,outdoors,grass ,2:58,"73,493",Kansas City Chiefs -9.0,51.0 (under),33 degrees, relative humidity 56%, wind 7 mph
2022,10,Pittsburgh Steelers,New Orleans Saints,2022-11-13,1:00PM,Pittsburgh,/boxscores/202211130pit.htm,Saints (deferred),,outdoors,grass ,2:50,"66,544",New Orleans Saints -1.0,40.0 (under),37 degrees, relative humidity 65%, wind 15 mph
2022,10,Indianapolis Colts,Las Vegas Raiders,2022-11-13,4:05PM,Las Vegas,/boxscores/202211130rai.htm,Colts (deferred),,dome,grass,3:02,"62,197",Las Vegas Raiders -4.0,41.0 (over),,,
2022,10,Green Bay Packers,Dallas Cowboys,2022-11-13,4:25PM,Green Bay,/boxscores/202211130gnb.htm,Packers (deferred),Cowboys,outdoors,grass ,3:28,"78,433",Dallas Cowboys -4.0,44.5 (over),33 degrees, relative humidity 53%, wind 8 mph
2022,10,Arizona Cardinals,Los Angeles Rams,2022-11-13,4:25PM,Los Angeles,/boxscores/202211130ram.htm,Cardinals (deferred),,dome,matrixturf,3:00,"71,752",Los Angeles Rams -2.5,39.5 (over),,,
2022,10,San Francisco 49ers,Los Angeles Chargers,2022-11-13,8:20PM,San Francisco,/boxscores/202211130sfo.htm,49ers (deferred),,outdoors,grass,2:59,"71,709",San Francisco 49ers -7.5,45.0 (under),57 degrees, relative humidity 38%, wind 6 mph
2022,10,Washington Commanders,Philadelphia Eagles,2022-11-14,8:15PM,Philadelphia,/boxscores/202211140phi.htm,Eagles (deferred),,outdoors,grass ,2:54,"69,879",Philadelphia Eagles -10.5,43.5 (over),43 degrees, relative humidity 45%, wind 6 mph
